row_id,dataset,molecule_index,component_split,parent_atoms,maskable_atom_fraction,mask_id,mask_atoms,mask_size,valid_unique_mutants,local_supported_mutants,absolute_in_domain_mutants,covered,failure
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,2,[7],1,8,8,5,True,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,3,[17],1,2,2,2,True,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,4,[18],1,0,0,0,False,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,5,[19],1,8,8,8,True,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,6,"[1, 2, 3, 4, 5, 26]",6,8,5,8,True,
CHEMBL1862_Ki:53,CHEMBL1862_Ki,53,calibration,27,0.6666666666666666,7,"[20, 21, 22, 23, 24, 25]",6,8,8,8,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,0,[0],1,8,8,6,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,1,[1],1,8,8,8,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,2,[8],1,8,8,0,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,3,[18],1,8,8,7,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,4,[22],1,8,8,4,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,5,"[6, 7]",2,8,8,4,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,6,"[2, 3, 4, 5, 27, 28]",6,8,2,8,True,
CHEMBL1862_Ki:533,CHEMBL1862_Ki,533,test,29,0.6551724137931034,7,"[15, 16, 17, 19, 20, 21]",6,8,7,3,True,
CHEMBL1862_Ki:576,CHEMBL1862_Ki,576,test,26,0.6153846153846154,0,[0],1,8,8,7,True,
CHEMBL1862_Ki:576,CHEMBL1862_Ki,576,test,26,0.6153846153846154,1,[13],1,8,8,0,True,
CHEMBL1862_Ki:576,CHEMBL1862_Ki,576,test,26,0.6153846153846154,2,[17],1,7,7,5,True,
CHEMBL1862_Ki:576,CHEMBL1862_Ki,576,test,26,0.6153846153846154,3,[18],1,8,8,3,True,
CHEMBL1862_Ki:576,CHEMBL1862_Ki,576,test,26,0.6153846153846154,4,"[1, 2, 3, 4, 5, 6]",6,8,1,1,True,
CHEMBL1862_Ki:576,CHEMBL1862_Ki,576,test,26,0.6153846153846154,5,"[14, 15, 16, 19, 20, 21]",6,8,2,3,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,0,[0],1,7,7,7,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,1,[1],1,8,8,5,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,2,[5],1,8,8,5,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,3,[6],1,8,8,8,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,4,[7],1,8,8,8,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,5,[18],1,2,2,1,True,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,6,[19],1,0,0,0,False,
CHEMBL1862_Ki:60,CHEMBL1862_Ki,60,test,29,0.6896551724137931,7,[20],1,8,8,8,True,
