dataset,component_id,atoms,positive_atoms,prevalence,replicates,mean_random_ap,median_random_ap,random_ap_ci95_low,random_ap_ci95_high,mean_random_nap,median_random_nap,random_nap_ci95_low,random_nap_ci95_high
CHEMBL204_Ki,34,88,14,0.1590909090909091,100,0.19829571511173394,0.1880217328696963,0.12060700797455297,0.3600447024128089,0.04662193148422419,0.0344042228720713,-0.04576463916539647,0.2389720785449619
CHEMBL204_Ki,35,40,24,0.6,100,0.6432471602876083,0.6469156792409783,0.5121367490436387,0.805422314655584,0.10811790071902083,0.11728919810244584,-0.21965812739090332,0.5135557866389602
CHEMBL204_Ki,38,38,23,0.6052631578947368,100,0.6309801665252084,0.6217832991471794,0.507686846686408,0.7721906247840564,0.06514975519719476,0.041851024506187946,-0.2471933217277664,0.4228829161196097
CHEMBL204_Ki,39,67,23,0.34328358208955223,100,0.38017876216888097,0.37385084787457823,0.2791562104137547,0.5126835757214029,0.056181296938978026,0.04654560926356231,-0.09764849777905532,0.25794999030304533
CHEMBL204_Ki,41,41,4,0.0975609756097561,100,0.15563117108410263,0.14100746563981859,0.07816375993533836,0.3235080080080079,0.06434805444454614,0.04814340787115032,-0.021494211963543983,0.2503737386034682
CHEMBL204_Ki,43,66,10,0.15151515151515152,100,0.1988922390238696,0.1881181877779502,0.12457621478658847,0.3392892657406471,0.055837281706703476,0.043139292738298425,-0.03174946114437789,0.22130520605147697
CHEMBL204_Ki,51,80,20,0.25,100,0.29135865852903764,0.27573775506439785,0.19866623131170774,0.42848071623012535,0.055144878038716795,0.034317006752530466,-0.068445024917723,0.23797428830683376
CHEMBL204_Ki,52,76,10,0.13157894736842105,100,0.17789441472332856,0.16036519472975252,0.10631915992237735,0.2852615288564174,0.05333296240868142,0.03314779999183623,-0.029087027968171524,0.1769678211073898
CHEMBL204_Ki,55,71,3,0.04225352112676056,100,0.10057648381110904,0.06419521024784183,0.03381974511016012,0.3849607247591118,0.06089603456748148,0.022909704817599554,-0.008805854370273987,0.35782663908671963
CHEMBL204_Ki,56,61,3,0.04918032786885246,100,0.11884753998807866,0.07118742232283023,0.03819818878439569,0.4584175358539765,0.07327068860815171,0.02314539244297662,-0.01155018076123902,0.43040464977745807
CHEMBL204_Ki,66,63,12,0.19047619047619047,100,0.23808575140068822,0.2304405551170361,0.1540134608549461,0.3511342387212959,0.058811810553791394,0.04936774455633874,-0.045042195414478334,0.19845994194983613
CHEMBL204_Ki,67,66,5,0.07575757575757576,100,0.1202247160521605,0.1028006833697367,0.05771613221274679,0.3346258793290036,0.048111987859714614,0.02925975577709217,-0.019520250392765774,0.2800870169789219
CHEMBL204_Ki,70,64,8,0.125,100,0.17519704707689357,0.14936939736976967,0.10000508507845515,0.36998245580641465,0.05736805380216407,0.027850739851165342,-0.028565617053194117,0.2799799494930453
