dataset,representation,predictor,explainer,components,trained_ap,permuted_ap,trained_nap,permuted_nap,prevalence,median_delta_ap,median_delta_nap,ci90_low,ci90_high,ci95_low,ci95_high
CHEMBL2835_Ki,unimol,xgboost,crem_lime,5,0.6450417929730579,0.409778435610624,0.4564702454899949,0.096223229528768,0.2933333333333333,0.23526335736243387,0.3602470159612269,0.009469938573499884,0.5219154057954428,0.009469938573499884,0.5219154057954428
CHEMBL2835_Ki,unimol,xgboost,crem_mean,5,0.6547291319237198,0.4566901890812008,0.4620084112973944,0.23116536190735962,0.2933333333333333,0.18287037037037035,0.2021198830409358,0.14919817498077653,0.578217866093806,0.14919817498077653,0.578217866093806
CHEMBL287_Ki,molformer,mlp,crem_lime,26,0.4352074232046229,0.41182357950266013,0.013342962641898317,0.03368550223034932,0.34340456890198967,0.002443192313630771,0.0034492126780669152,-0.07055432278203339,0.0872562302311213,-0.09064353263305575,0.09705053913808143
CHEMBL287_Ki,molformer,mlp,crem_mean,26,0.5095070870475604,0.5277458059061833,0.21772135398886927,0.11581529195493477,0.34340456890198967,0.005132493717686412,0.005719064428279151,-0.019297253532583325,0.03382961228367226,-0.022793360376066163,0.04357800281047297
CHEMBL287_Ki,molformer,xgboost,crem_lime,26,0.45418901234142584,0.39526542541150533,0.08339753541163764,0.06331027976819946,0.34340456890198967,0.018798274738871426,0.0262186463463207,-0.08271004526138825,0.1340507107709341,-0.10224996105710059,0.1525901351415772
CHEMBL287_Ki,molformer,xgboost,crem_mean,26,0.5162891637645333,0.4860379325312351,0.21859224515756337,0.15462022497669703,0.34340456890198967,0.004367335740875278,0.006696581469342072,-0.05186737475191045,0.1071529014157786,-0.0633891383248764,0.11946458364396532
CHEMBL287_Ki,morgan,mlp,crem_lime,26,0.5052268748945355,0.5188636467232779,0.19513111272100753,0.16443829890342881,0.34340456890198967,0.012785022088543346,0.02983171820660112,-0.09337594297196963,0.10621790576255098,-0.1251730643797207,0.12221659211560221
CHEMBL287_Ki,morgan,mlp,crem_mean,26,0.5396102960893487,0.5090064610955362,0.150792981675615,0.15596895407599093,0.34340456890198967,-0.0066363889110893914,-0.012440639109770082,-0.028018545775528106,0.01958433038832169,-0.031937119570879316,0.02952848278935232
CHEMBL287_Ki,morgan,xgboost,crem_lime,26,0.4378165267627204,0.48737321628741215,0.09783199299024924,0.1411355974616343,0.34340456890198967,0.008351909133234525,0.015659829624814665,-0.09080374313744705,0.11898754895621924,-0.14496370381121265,0.16279268724584603
CHEMBL287_Ki,morgan,xgboost,crem_mean,26,0.5317189458234055,0.48180009355896375,0.21830944767157576,0.10654136313331197,0.34340456890198967,0.0028466153569348673,0.006054422321529543,-0.030799572307724534,0.1471390715690614,-0.03973260535760533,0.1717166978667083
