dataset,component_id,representation,predictor,explainer,trained_seed_sd,permuted_seed_sd,matched_delta_seed_sd
CHEMBL1871_Ki,35,molformer,mlp,crem_mean,0.02750047983743892,0.08010323942537899,0.06489971482514509
CHEMBL1871_Ki,35,molformer,xgboost,crem_lime,0.20823805868743148,0.062232736679433784,0.23281049714313612
CHEMBL1871_Ki,35,molformer,xgboost,crem_mean,0.12732667255642488,0.10776570432732639,0.08706169060580335
CHEMBL1871_Ki,35,morgan,mlp,crem_lime,0.04621872676628717,0.04640007339782837,0.08645733987405836
CHEMBL1871_Ki,35,morgan,mlp,crem_mean,0.013812202853405517,0.04322724674893611,0.03882755414035657
CHEMBL1871_Ki,35,morgan,xgboost,crem_lime,0.05645273342446727,0.09963916610724437,0.04863446488802767
CHEMBL1871_Ki,35,morgan,xgboost,crem_mean,0.011606865784015121,0.03377990381374924,0.044980509589216296
CHEMBL1871_Ki,35,unimol,mlp,crem_lime,0.05360717873202573,0.14222639372310802,0.19030260353140904
CHEMBL1871_Ki,35,unimol,mlp,crem_mean,0.04401365464542049,0.14468162012857266,0.14472642579686712
CHEMBL1871_Ki,35,unimol,xgboost,crem_lime,0.028960496013835803,0.09536769039811958,0.10152426299901983
CHEMBL1871_Ki,35,unimol,xgboost,crem_mean,0.08173034510002933,0.10364117413787508,0.04596293475669639
CHEMBL1871_Ki,37,molformer,mlp,crem_lime,0.1465858636954103,0.11510210102036184,0.19193950964088238
CHEMBL1871_Ki,37,molformer,mlp,crem_mean,0.01831291699210205,0.009117958779414254,0.012377281787569427
CHEMBL1871_Ki,37,molformer,xgboost,crem_lime,0.025920445576840066,0.06610722557514004,0.06428785360968788
CHEMBL1871_Ki,37,molformer,xgboost,crem_mean,0.046886841625374966,0.0758307986306748,0.09385818470995495
CHEMBL1871_Ki,37,morgan,mlp,crem_lime,0.0745599180427975,0.10077763980311175,0.11031687311465983
CHEMBL1871_Ki,37,morgan,mlp,crem_mean,0.02805667026549245,0.06242255014694042,0.08724832387847672
CHEMBL1871_Ki,37,morgan,xgboost,crem_lime,0.02826148897007705,0.12363747056547104,0.12543503577843013
CHEMBL1871_Ki,37,morgan,xgboost,crem_mean,0.05005659298963318,0.04280523219795839,0.0333078197256701
CHEMBL1871_Ki,37,unimol,mlp,crem_lime,0.07396411543742598,0.13226508344749804,0.07907321590080091
CHEMBL1871_Ki,37,unimol,mlp,crem_mean,0.022748837015904178,0.045100493291429164,0.05657444549395593
CHEMBL1871_Ki,37,unimol,xgboost,crem_lime,0.002836878565413693,0.07984431409423084,0.07942577233368915
CHEMBL1871_Ki,37,unimol,xgboost,crem_mean,0.008025322080502455,0.029781357154844732,0.032504857127885554
CHEMBL1871_Ki,38,molformer,mlp,crem_lime,0.09366304271889807,0.5757770224109124,0.5043733703292316
CHEMBL1871_Ki,38,molformer,mlp,crem_mean,0.20099229077133776,0.3145563729120874,0.13689751363693603
CHEMBL1871_Ki,38,molformer,xgboost,crem_lime,0.11664816358228933,0.0841948235762079,0.10248609185790168
CHEMBL1871_Ki,38,molformer,xgboost,crem_mean,0.07560524450064667,0.3370754793384651,0.28370730443782016
CHEMBL1871_Ki,38,morgan,mlp,crem_lime,0.09745317379699545,0.160217982807256,0.13187445604939876
CHEMBL1871_Ki,38,morgan,mlp,crem_mean,0.04375310811341783,0.04373382507953362,0.07763281041931272
CHEMBL1871_Ki,38,morgan,xgboost,crem_lime,0.020127611964510076,0.2785891383291875,0.2986550706368882
CHEMBL1871_Ki,38,morgan,xgboost,crem_mean,0.009616113956633214,0.17845125659900365,0.18697495384529209
CHEMBL1871_Ki,38,unimol,mlp,crem_lime,0.25833315100172893,0.10075068632844691,0.3177282896005963
CHEMBL1871_Ki,38,unimol,mlp,crem_mean,0.1305547689144081,0.1314889692706845,0.2611087141303403
CHEMBL1871_Ki,38,unimol,xgboost,crem_lime,0.16823692768957782,0.1119362652427332,0.2744271457575746
CHEMBL1871_Ki,38,unimol,xgboost,crem_mean,0.32501132637778113,0.09073252561701652,0.37596562939305
CHEMBL2034_Ki,1,molformer,mlp,crem_lime,0.090852714800409,0.4936093156702984,0.40872538000358805
CHEMBL2034_Ki,1,molformer,mlp,crem_mean,0.02344899836485262,0.1852741662918401,0.18878476806608077
CHEMBL2034_Ki,1,molformer,xgboost,crem_lime,0.22879047075674946,0.24124807633262857,0.36695740906552987
CHEMBL2034_Ki,1,molformer,xgboost,crem_mean,0.11726757675090779,0.03814300520869598,0.1504769449016306
CHEMBL2034_Ki,1,morgan,mlp,crem_lime,0.18189422149475873,0.033822466018928195,0.1857901554586459
CHEMBL2034_Ki,1,morgan,mlp,crem_mean,0.01670790071803578,0.07205157619331667,0.08298989827503349
CHEMBL2034_Ki,1,morgan,xgboost,crem_lime,0.026777499760659587,0.017355512512940097,0.02938202013739273
CHEMBL2034_Ki,1,morgan,xgboost,crem_mean,0.1035740572702874,0.1625991055298794,0.24551374420884056
CHEMBL2034_Ki,1,unimol,mlp,crem_lime,0.23877118546185788,0.3612731063220243,0.526237469784966
CHEMBL2034_Ki,1,unimol,mlp,crem_mean,0.12224189617753399,0.2023328648714242,0.3053595775589775
CHEMBL2034_Ki,1,unimol,xgboost,crem_lime,0.042413308058340406,0.058087918347775054,0.09591171843473845
CHEMBL2034_Ki,1,unimol,xgboost,crem_mean,0.06784176473503846,0.14027057951364252,0.20721716200063045
CHEMBL2034_Ki,3,molformer,mlp,crem_lime,0.09743464591267775,0.2530040899161754,0.3498831694417925
CHEMBL2034_Ki,3,molformer,mlp,crem_mean,0.010169366669943752,0.05390821449158934,0.06043920218564302
CHEMBL2034_Ki,3,molformer,xgboost,crem_lime,0.04754263291157184,0.025628896258050954,0.061310931060892235
