dataset,component_id,baseline,average_precision,prevalence,normalized_ap_lift
CHEMBL218_EC50,29,support_any,0.6165413533834586,0.5714285714285714,0.10526315789473682
CHEMBL218_EC50,29,mask_membership_count,0.6165413533834586,0.5714285714285714,0.10526315789473682
CHEMBL218_EC50,29,valid_mutant_count,0.6360119047619047,0.5714285714285714,0.1506944444444444
CHEMBL218_EC50,29,local_supported_mutant_count,0.5436858371891267,0.5714285714285714,-0.06473304655870438
CHEMBL218_EC50,29,absolute_in_domain_mutant_count,0.5370153900375939,0.5714285714285714,-0.08029742324561413
CHEMBL218_EC50,29,local_support_fraction,0.5334073820915927,0.5714285714285714,-0.08871610845295037
CHEMBL218_EC50,29,selected_mutant_count,0.5758024869866976,0.5714285714285714,0.010205802968961045
CHEMBL218_EC50,29,selected_mean_parent_tanimoto,0.6291064575501253,0.5714285714285714,0.13458173428362574
CHEMBL218_EC50,29,selected_mean_nearest_train_tanimoto,0.5119768279204957,0.5714285714285714,-0.13872073485217662
CHEMBL218_EC50,29,inverse_mask_size,0.5918281280123385,0.5714285714285714,0.047598965362123304
CHEMBL218_EC50,31,support_any,0.0758345428156749,0.07547169811320754,0.00039246467817896955
CHEMBL218_EC50,31,mask_membership_count,0.07327044025157232,0.07547169811320754,-0.0023809523809523803
CHEMBL218_EC50,31,valid_mutant_count,0.07446091644204852,0.07547169811320754,-0.0010932944606413884
CHEMBL218_EC50,31,local_supported_mutant_count,0.08160377358490567,0.07547169811320754,0.006632653061224503
CHEMBL218_EC50,31,absolute_in_domain_mutant_count,0.09231805929919137,0.07547169811320754,0.018221574344023325
CHEMBL218_EC50,31,local_support_fraction,0.07933104631217838,0.07547169811320754,0.004174397031539886
CHEMBL218_EC50,31,selected_mutant_count,0.0758345428156749,0.07547169811320754,0.00039246467817896955
CHEMBL218_EC50,31,selected_mean_parent_tanimoto,0.08438155136268344,0.07547169811320754,0.009637188208616783
CHEMBL218_EC50,31,selected_mean_nearest_train_tanimoto,0.18160377358490565,0.07547169811320754,0.11479591836734693
CHEMBL218_EC50,31,inverse_mask_size,0.07933104631217838,0.07547169811320754,0.004174397031539886
CHEMBL218_EC50,36,support_any,0.21825396825396826,0.19444444444444445,0.029556650246305417
CHEMBL218_EC50,36,mask_membership_count,0.21825396825396826,0.19444444444444445,0.029556650246305417
CHEMBL218_EC50,36,valid_mutant_count,0.24206349206349206,0.19444444444444445,0.059113300492610835
CHEMBL218_EC50,36,local_supported_mutant_count,0.24206349206349206,0.19444444444444445,0.059113300492610835
CHEMBL218_EC50,36,absolute_in_domain_mutant_count,0.24206349206349206,0.19444444444444445,0.059113300492610835
CHEMBL218_EC50,36,local_support_fraction,0.21825396825396826,0.19444444444444445,0.029556650246305417
CHEMBL218_EC50,36,selected_mutant_count,0.22557997557997558,0.19444444444444445,0.038651004168245545
CHEMBL218_EC50,36,selected_mean_parent_tanimoto,0.17185374149659863,0.19444444444444445,-0.028043631245601705
CHEMBL218_EC50,36,selected_mean_nearest_train_tanimoto,0.16965031626685761,0.19444444444444445,-0.030778917737694
