draw,estimate
678,-0.006458173359316668
679,-0.015132982157463726
680,-0.014976211075721124
681,-0.015034518482674467
682,-0.00427456823198717
683,-0.01324495191230226
684,-0.016737759794150864
685,-0.01419671564001341
686,-0.007410592786875017
687,-0.002181411168244468
688,-0.00831810814060967
689,-0.010859299820471895
690,-0.013408669307859267
691,-0.012051878755564936
692,-0.013800849453081184
693,-0.011773337430762622
694,-0.007103809421444949
695,-0.01081408941935258
696,-0.011229565878579033
697,-0.012873078152676768
698,-0.00868605984115562
699,-0.011177475035044583
700,-0.0107265703387327
701,-0.014995213322135685
702,-0.011215543333971432
703,-0.008277737566534021
704,-0.004181555541676251
705,-0.0119086319823707
706,-0.013602768792307134
707,-0.012383359711811101
708,-0.009338102852426491
709,-0.010065672609645242
710,-0.009492318175969718
711,-0.013605185377217978
712,-0.009962245972022696
713,-0.012416727273366533
714,-0.01076609663748309
715,-0.014274330635093646
716,-0.011906751336898332
717,-0.0126577103223788
718,-0.013180635126650395
719,-0.01337179973783873
720,-0.013142740194948155
721,-0.014881404140072397
722,-0.005686607158735361
723,-0.012806743210450881
724,-0.013127355961700343
725,-0.014115132029018197
726,-0.014995213322135685
727,-0.01542847806241094
728,-0.01115810395910366
729,-0.011504817444219032
730,-0.01632826997894883
731,-0.013361646342379324
732,-0.017490686750890817
733,-0.013375411943154909
734,-0.014831074848572365
735,-0.01721368434441964
736,-0.009081472909640849
737,-0.014304000627235768
738,-0.012408853872014047
739,-0.02083455712383183
740,-0.008897938087017457
741,-0.011898801902801601
742,-0.009834830769037498
743,-0.01795419253116152
744,-0.010028502082019965
745,-0.013154649229379057
746,-0.010577706465493802
747,-0.009899923505347187
748,-0.019214056502397246
749,-0.010543683797728961
750,-0.014035546060817167
751,-0.008061616939088932
752,-0.015214261812399026
753,-0.013201206433584911
754,-0.010004892535671231
755,-0.014129649332879603
756,-0.016658086739596137
757,-0.009689690438735875
758,-0.015175840722624755
759,-0.015834954674104583
760,-0.012840467696149063
761,-0.014154411764705874
762,-0.010966920799493117
763,-0.014304025279740666
764,-0.01338537118611649
765,-0.013777325576709836
766,-0.010819715879284052
767,-0.014995646136366721
768,-0.012768708436401684
769,-0.009109403301614633
770,-0.017662465168712435
771,-0.017360380404721695
772,-0.012985380310206261
773,-0.011758895241002564
774,-0.01660848289933259
775,-0.01611282660901462
776,-0.01247816484915323
777,-0.01709329685491988
778,-0.015081653838414536
779,-0.01825575411241727
780,-0.014121160632000734
781,-0.01516276019775517
782,-0.0011801084550482552
783,-0.011879108889564399
784,-0.017278797991007767
785,-0.016639401892199993
786,-0.012288747907724495
787,-0.014118852308780213
788,-0.011010482599604854
789,-0.01518877156370202
790,-0.010366586019241408
791,-0.007678012616952598
792,-0.006801218722101276
793,-0.012282809835622945
794,-0.010372731843320104
795,-0.017943588634548757
796,-0.018393803553879283
797,-0.015122280790675152
798,-0.011641104435990878
799,-0.014121160632000734
800,-0.011797767026702818
801,-0.013408669307859267
802,-0.00788477364882525
803,-0.014583333333333323
804,-0.010325984360098657
805,-0.015441784429054806
806,-0.018515380630317473
807,-0.012609819291544103
808,-0.01947560541310537
809,-0.014885957945732272
810,-0.01549761987569065
811,-0.011487958798343467
812,-0.012768708436401684
813,-0.016737759794150864
814,-0.019565521306413473
815,-0.014063870417044069
816,-0.008495646109427001
817,-0.010761649655981052
818,-0.013725490196078424
819,-0.008702071757435634
820,-0.015311606577391092
821,-0.012268518518518519
822,-0.005322054135666521
823,-0.006305183254599569
824,-0.014409843768468232
825,-0.009834830769037498
826,-0.013881372643847135
827,-0.005134253259150207
828,-0.015678631552413606
829,-0.006839906265618145
830,-0.012796419744558023
831,-0.013965327936853969
832,-0.021031746031745967
833,-0.008466004011527226
834,-0.018347139820802938
835,-0.009553267524394785
836,-0.008956779284089791
837,-0.014020656386336228
838,-0.0060772358859671315
839,-0.01593573279160505
840,-0.013627731999885002
841,-0.015796908468523642
842,-0.014312423687423692
843,-0.014719031237881906
844,-0.010300183382796702
845,-0.0217243246645724
846,-0.006839906265618145
847,-0.012282809835622945
848,-0.007998563098695961
849,-0.009500505896328533
850,-0.01145725926066865
851,-0.017168772270813062
852,-0.006525452162374195
853,-0.005616022974492565
854,-0.012297407694124947
855,-0.014531521763062771
856,-0.016787375838742853
857,-0.010065672609645242
858,-0.007618576250446103
859,-0.010554786687232087
860,-0.013167075170001846
