representation,predictor,explainer,control,seed,row_id,dataset,predictive_test_r2,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,rationale_supported_fraction,mean_randomized_nap,randomized_nap_sd,randomization_replicates,randomization_calibrated_nap
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:608,CHEMBL234_Ki,0.975134853316404,0.1098901098901098,0.0769230769230769,0.0357142857142857,0.8076923076923077,1.0,0.3645833333333333,0.3191990301259284,3,-0.3288690476190476
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:680,CHEMBL234_Ki,0.975134853316404,1.0,0.0526315789473684,1.0,0.4736842105263157,1.0,0.06944444444444443,0.12028130608117203,3,0.9305555555555556
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:695,CHEMBL234_Ki,0.975134853316404,1.0,0.0526315789473684,1.0,0.4736842105263157,1.0,0.49074074074074076,0.5002571355274111,3,0.5092592592592593
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1030,CHEMBL234_Ki,0.975134853316404,0.3610784313725489,0.125,0.2698039215686273,1.0,1.0,0.19656084656084657,0.1760337021184156,3,0.07324307500778074
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1038,CHEMBL234_Ki,0.975134853316404,0.0881960335621662,0.09375,-0.0061285146900234,1.0,1.0,0.06695858419996352,0.11597566983721547,3,-0.07308709888998692
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1103,CHEMBL234_Ki,0.975134853316404,1.0,0.074074074074074,1.0,1.0,1.0,0.03933333333333334,0.06812733176437585,3,0.9606666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1615,CHEMBL234_Ki,0.975134853316404,1.0,0.0476190476190476,1.0,0.2857142857142857,1.0,0.15833333333333335,0.27424137786507224,3,0.8416666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1771,CHEMBL234_Ki,0.975134853316404,1.0,0.0454545454545454,1.0,0.7272727272727273,1.0,0.4920634920634921,0.5001889287805946,3,0.5079365079365079
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1772,CHEMBL234_Ki,0.975134853316404,1.0,0.0454545454545454,1.0,0.7272727272727273,1.0,0.3333333333333333,0.5773502691896258,3,0.6666666666666667
morgan,xgboost,crem_mean,halogen_count,42,CHEMBL234_Ki:1817,CHEMBL234_Ki,0.975134853316404,1.0,0.0344827586206896,1.0,0.4137931034482758,1.0,0.12265512265512264,0.16444994234504925,3,0.8773448773448773
