dataset,row_id,representation,predictor,seed,label_permuted,trained,trained_minus_permuted_r2
CHEMBL1862_Ki,CHEMBL1862_Ki:135,morgan,xgboost,23,0.931036598069048,0.9657275963531864,0.03469099828413835
CHEMBL1862_Ki,CHEMBL1862_Ki:135,morgan,xgboost,42,0.0,0.9644877185479293,0.9644877185479293
CHEMBL1862_Ki,CHEMBL1862_Ki:135,unimol,mlp,11,0.9398238442373226,0.9147868478412422,-0.02503699639608037
CHEMBL1862_Ki,CHEMBL1862_Ki:135,unimol,mlp,23,0.9472565344156636,0.9074167385115328,-0.03983979590413078
CHEMBL1862_Ki,CHEMBL1862_Ki:135,unimol,mlp,42,0.9527599066156456,0.9178351688333788,-0.03492473778226679
CHEMBL1862_Ki,CHEMBL1862_Ki:135,unimol,xgboost,11,0.945192121241328,0.9118792048743284,-0.03331291636699962
CHEMBL1862_Ki,CHEMBL1862_Ki:135,unimol,xgboost,23,0.919874245166702,0.9222473013373804,0.0023730561706784004
CHEMBL1862_Ki,CHEMBL1862_Ki:135,unimol,xgboost,42,0.9246147061557016,0.9250324228430624,0.0004177166873607918
CHEMBL1862_Ki,CHEMBL1862_Ki:144,molformer,mlp,11,0.9422223093297498,0.935396205263867,-0.006826104065882799
CHEMBL1862_Ki,CHEMBL1862_Ki:144,molformer,mlp,23,0.9490523700424583,0.970529194033362,0.02147682399090367
CHEMBL1862_Ki,CHEMBL1862_Ki:144,molformer,mlp,42,0.9267506044854902,0.9645028966413024,0.03775229215581222
CHEMBL1862_Ki,CHEMBL1862_Ki:144,molformer,xgboost,11,0.952303714523702,0.9194433406027988,-0.03286037392090324
CHEMBL1862_Ki,CHEMBL1862_Ki:144,molformer,xgboost,23,0.9549831036411012,0.9398791301242132,-0.01510397351688797
CHEMBL1862_Ki,CHEMBL1862_Ki:144,molformer,xgboost,42,0.9578483823631132,0.9274776819457148,-0.030370700417398422
CHEMBL1862_Ki,CHEMBL1862_Ki:144,morgan,mlp,11,0.951685842912018,0.9562043832652009,0.004518540353182887
CHEMBL1862_Ki,CHEMBL1862_Ki:144,morgan,mlp,23,0.9423528814616596,0.9586504150679352,0.016297533606275616
CHEMBL1862_Ki,CHEMBL1862_Ki:144,morgan,mlp,42,0.9237917649505694,0.956921692660938,0.0331299277103686
CHEMBL1862_Ki,CHEMBL1862_Ki:144,morgan,xgboost,11,0.0,0.9661825986578384,0.9661825986578384
CHEMBL1862_Ki,CHEMBL1862_Ki:144,morgan,xgboost,23,0.9599946092973586,0.9734940768788212,0.013499467581462588
CHEMBL1862_Ki,CHEMBL1862_Ki:144,morgan,xgboost,42,0.0,0.965074825331003,0.965074825331003
CHEMBL1862_Ki,CHEMBL1862_Ki:144,unimol,mlp,11,0.9576212922650716,0.9510968233704996,-0.006524468894572033
CHEMBL1862_Ki,CHEMBL1862_Ki:144,unimol,mlp,23,0.9774878059925212,0.9585747130801036,-0.018913092912417606
CHEMBL1862_Ki,CHEMBL1862_Ki:144,unimol,mlp,42,0.9660425672478552,0.9479840714537554,-0.018058495794099794
CHEMBL1862_Ki,CHEMBL1862_Ki:144,unimol,xgboost,11,0.9267185635313624,0.949489017202825,0.022770453671462576
CHEMBL1862_Ki,CHEMBL1862_Ki:144,unimol,xgboost,23,0.9374008386399464,0.9360296084924192,-0.0013712301475271582
CHEMBL1862_Ki,CHEMBL1862_Ki:144,unimol,xgboost,42,0.9443396808134252,0.9371397167487704,-0.00719996406465484
CHEMBL1862_Ki,CHEMBL1862_Ki:163,molformer,mlp,11,0.9350905931667824,0.9316355644810504,-0.003455028685731998
CHEMBL1862_Ki,CHEMBL1862_Ki:163,molformer,mlp,23,0.9291363071256128,0.9499815432034378,0.020845236077824958
CHEMBL1862_Ki,CHEMBL1862_Ki:163,molformer,mlp,42,0.9348828965142756,0.9276896561116188,-0.0071932404026567864
CHEMBL1862_Ki,CHEMBL1862_Ki:163,molformer,xgboost,11,0.9437800677439327,0.91538893673377,-0.028391131010162773
CHEMBL1862_Ki,CHEMBL1862_Ki:163,molformer,xgboost,23,0.9410701580557312,0.931493506658601,-0.009576651397130265
CHEMBL1862_Ki,CHEMBL1862_Ki:163,molformer,xgboost,42,0.938372130756061,0.9385728020165196,0.00020067126045864025
CHEMBL1862_Ki,CHEMBL1862_Ki:163,morgan,mlp,11,0.9506018190723964,0.9677328682998928,0.01713104922749642
CHEMBL1862_Ki,CHEMBL1862_Ki:163,morgan,mlp,23,0.9698174643084212,0.9552241483691346,-0.014593315939286589
CHEMBL1862_Ki,CHEMBL1862_Ki:163,morgan,mlp,42,0.9248849770915512,0.9698694984992066,0.04498452140765541
CHEMBL1862_Ki,CHEMBL1862_Ki:163,morgan,xgboost,11,0.981361776996108,0.9546237265537758,-0.02673805044233224
CHEMBL1862_Ki,CHEMBL1862_Ki:163,morgan,xgboost,23,0.9757880805857894,0.9579586984258424,-0.017829382159947005
CHEMBL1862_Ki,CHEMBL1862_Ki:163,morgan,xgboost,42,0.9346597272396504,0.9589102554089964,0.02425052816934603
CHEMBL1862_Ki,CHEMBL1862_Ki:163,unimol,mlp,11,0.944983474913015,0.9350181218669368,-0.009965353046078262
CHEMBL1862_Ki,CHEMBL1862_Ki:163,unimol,mlp,23,0.9299263106100149,0.9340483291157948,0.0041220185057799785
CHEMBL1862_Ki,CHEMBL1862_Ki:163,unimol,mlp,42,0.9284186767067,0.9319466497662428,0.003527973059542777
CHEMBL1862_Ki,CHEMBL1862_Ki:163,unimol,xgboost,11,0.9297546700743357,0.9187694783631948,-0.010985191711140874
CHEMBL1862_Ki,CHEMBL1862_Ki:163,unimol,xgboost,23,0.9338112319259324,0.919823765603767,-0.01398746632216541
CHEMBL1862_Ki,CHEMBL1862_Ki:163,unimol,xgboost,42,0.9135615742023964,0.9249995684170796,0.011437994214683278
CHEMBL1862_Ki,CHEMBL1862_Ki:431,molformer,mlp,11,0.9394945213664008,0.9525305602270784,0.013036038860677612
CHEMBL1862_Ki,CHEMBL1862_Ki:431,molformer,mlp,23,0.9129993630067824,0.9467133556434886,0.03371399263670616
CHEMBL1862_Ki,CHEMBL1862_Ki:431,molformer,mlp,42,0.9283620895078272,0.947804962801752,0.0194428732939248
CHEMBL1862_Ki,CHEMBL1862_Ki:431,molformer,xgboost,11,0.925401016305484,0.9246973139818828,-0.0007037023236011741
CHEMBL1862_Ki,CHEMBL1862_Ki:431,molformer,xgboost,23,0.8986972043366299,0.918201417107978,0.019504212771348062
CHEMBL1862_Ki,CHEMBL1862_Ki:431,molformer,xgboost,42,0.9241208239477424,0.9265162703015974,0.002395446353855024
CHEMBL1862_Ki,CHEMBL1862_Ki:431,morgan,mlp,11,0.9076581857390186,0.9359019630906976,0.028243777351679045
CHEMBL1862_Ki,CHEMBL1862_Ki:431,morgan,mlp,23,0.927305151700728,0.9304326255298456,0.0031274738291175996
CHEMBL1862_Ki,CHEMBL1862_Ki:431,morgan,mlp,42,0.9261479514691612,0.9390315614389054,0.012883609969744247
