dataset,component_id,representation,predictor,explainer,seed,label_permuted,trained,matched_seed_delta
CHEMBL1862_Ki,10,molformer,mlp,crem_lime,42,0.0364334163877242,-0.0202927349476303,-0.056726151335354504
CHEMBL1862_Ki,10,molformer,mlp,crem_mean,11,0.2219526687245482,0.2302189239531204,0.008266255228572217
CHEMBL1862_Ki,10,molformer,mlp,crem_mean,23,0.1318397527866681,0.1791723929623198,0.0473326401756517
CHEMBL1862_Ki,10,molformer,mlp,crem_mean,42,0.1413855739973885,0.1440551860064054,0.002669612009016914
CHEMBL1862_Ki,10,molformer,xgboost,crem_lime,11,0.0152801532166497,0.0459592008337629,0.0306790476171132
CHEMBL1862_Ki,10,molformer,xgboost,crem_lime,23,0.1001585257511811,0.020968555689361,-0.0791899700618201
CHEMBL1862_Ki,10,molformer,xgboost,crem_lime,42,-0.0784960886749504,-0.0130217169413726,0.06547437173357781
CHEMBL1862_Ki,10,molformer,xgboost,crem_mean,11,0.0701401774802062,0.2214634146341463,0.15132323715394008
CHEMBL1862_Ki,10,molformer,xgboost,crem_mean,23,0.2534311068600881,0.1784313725490196,-0.07499973431106846
CHEMBL1862_Ki,10,molformer,xgboost,crem_mean,42,0.0552547524595231,0.1811392815696975,0.1258845291101744
CHEMBL1862_Ki,10,morgan,mlp,crem_lime,11,0.3077612808882647,0.2287048707101486,-0.0790564101781161
CHEMBL1862_Ki,10,morgan,mlp,crem_lime,23,0.3577137358818417,0.213620766654271,-0.1440929692275707
CHEMBL1862_Ki,10,morgan,mlp,crem_lime,42,0.2254870887515818,0.0024982568027252,-0.2229888319488566
CHEMBL1862_Ki,10,morgan,mlp,crem_mean,11,0.2132074128822095,0.3197586087212435,0.106551195839034
CHEMBL1862_Ki,10,morgan,mlp,crem_mean,23,0.3537402052753559,0.2708046695851573,-0.08293553569019857
CHEMBL1862_Ki,10,morgan,mlp,crem_mean,42,0.2434005440623666,0.2634291459043621,0.020028601841995508
CHEMBL1862_Ki,10,morgan,xgboost,crem_lime,11,0.0062958181822531,0.2702489266101097,0.2639531084278566
CHEMBL1862_Ki,10,morgan,xgboost,crem_lime,23,0.298032864370029,0.3264534428325913,0.028420578462562296
CHEMBL1862_Ki,10,morgan,xgboost,crem_lime,42,-0.0261309370988446,0.2639898991722255,0.2901208362710701
CHEMBL1862_Ki,10,morgan,xgboost,crem_mean,11,0.0,0.27757587276956,0.27757587276956
CHEMBL1862_Ki,10,morgan,xgboost,crem_mean,23,0.3969248932046013,0.3394662067832799,-0.0574586864213214
CHEMBL1862_Ki,10,morgan,xgboost,crem_mean,42,0.0,0.2648461146850557,0.2648461146850557
CHEMBL1862_Ki,10,unimol,mlp,crem_lime,11,0.153505372240695,0.1301321573719965,-0.023373214868698505
CHEMBL1862_Ki,10,unimol,mlp,crem_lime,23,-0.0013163668050737,0.1090526811545377,0.1103690479596114
CHEMBL1862_Ki,10,unimol,mlp,crem_lime,42,0.072482916201711,0.1750098565019654,0.1025269403002544
CHEMBL1862_Ki,10,unimol,mlp,crem_mean,11,0.235346382789341,0.2940963919443116,0.058750009154970584
CHEMBL1862_Ki,10,unimol,mlp,crem_mean,23,0.1452592300012068,0.2561327238496992,0.1108734938484924
CHEMBL1862_Ki,10,unimol,mlp,crem_mean,42,0.1641935200728526,0.2962970793794625,0.13210355930660989
CHEMBL1862_Ki,10,unimol,xgboost,crem_lime,11,-0.0654162168201177,0.0524045468467375,0.1178207636668552
CHEMBL1862_Ki,10,unimol,xgboost,crem_lime,23,-0.0207291812196103,0.0808318175424449,0.1015609987620552
CHEMBL1862_Ki,10,unimol,xgboost,crem_lime,42,0.1974557163219635,-0.0331056527676635,-0.230561369089627
CHEMBL1862_Ki,10,unimol,xgboost,crem_mean,11,0.0610540678833362,0.3212632534217653,0.2602091855384291
CHEMBL1862_Ki,10,unimol,xgboost,crem_mean,23,0.1080195955805712,0.3572621564237808,0.2492425608432096
CHEMBL1862_Ki,10,unimol,xgboost,crem_mean,42,0.1915306108350954,0.289395698083253,0.0978650872481576
CHEMBL1862_Ki,19,molformer,mlp,crem_lime,11,0.0840450927954691,0.1327558002454434,0.0487107074499743
CHEMBL1862_Ki,19,molformer,mlp,crem_lime,23,0.3287465560472806,0.1591335677310455,-0.16961298831623509
CHEMBL1862_Ki,19,molformer,mlp,crem_lime,42,0.1291139787723795,-0.0022475466919911,-0.1313615254643706
CHEMBL1862_Ki,19,molformer,mlp,crem_mean,11,0.4767582209398066,0.1172970814115315,-0.3594611395282751
CHEMBL1862_Ki,19,molformer,mlp,crem_mean,23,0.3882610699426556,0.1990121392295305,-0.18924893071312507
CHEMBL1862_Ki,19,molformer,mlp,crem_mean,42,0.2212056462056462,0.0919845988686568,-0.12922104733698941
CHEMBL1862_Ki,19,molformer,xgboost,crem_lime,11,0.0756633919796517,0.1182831434908078,0.0426197515111561
CHEMBL1862_Ki,19,molformer,xgboost,crem_lime,23,0.0821727011116708,0.3517190286361518,0.269546327524481
CHEMBL1862_Ki,19,molformer,xgboost,crem_lime,42,0.6943452633662718,0.385347253352061,-0.3089980100142108
CHEMBL1862_Ki,19,molformer,xgboost,crem_mean,11,0.268569882752575,0.3603535353535354,0.09178365260096044
CHEMBL1862_Ki,19,molformer,xgboost,crem_mean,23,0.2595411918328585,0.3445049599488006,0.08496376811594208
CHEMBL1862_Ki,19,molformer,xgboost,crem_mean,42,0.3172513879035618,0.3821776204719349,0.0649262325683731
CHEMBL1862_Ki,19,morgan,mlp,crem_lime,11,0.0052992805245626,-0.0397557245034948,-0.0450550050280574
CHEMBL1862_Ki,19,morgan,mlp,crem_lime,23,-0.0366728690431434,-0.0519555551801929,-0.0152826861370495
CHEMBL1862_Ki,19,morgan,mlp,crem_lime,42,0.0987738754231114,-0.1056836033032222,-0.2044574787263336
CHEMBL1862_Ki,19,morgan,mlp,crem_mean,11,0.3840342040592877,0.0587916783473611,-0.3252425257119266
