dataset,component_id,representation,predictor,explainer,label_permuted,trained,delta_sanity
CHEMBL239_EC50,16,unimol,mlp,crem_lime,-0.012957162218488466,0.051880805258041805,0.06483796747653027
CHEMBL239_EC50,16,unimol,mlp,crem_mean,-0.03302728840824077,-0.021303516625505364,0.011723771782735405
CHEMBL239_EC50,16,unimol,xgboost,crem_lime,0.08361800936390935,-0.1172064215191167,-0.20082443088302604
CHEMBL239_EC50,16,unimol,xgboost,crem_mean,-0.033253918658917796,-0.05221100705637094,-0.018957088397453144
CHEMBL239_EC50,18,molformer,mlp,crem_lime,0.023649767556864168,-0.0215969876122078,-0.045246755169071964
CHEMBL239_EC50,18,molformer,mlp,crem_mean,0.019715368537825132,0.09285981193700364,0.07314444339917851
CHEMBL239_EC50,18,molformer,xgboost,crem_lime,0.07256538928280833,0.17006998857039465,0.09750459928758633
CHEMBL239_EC50,18,molformer,xgboost,crem_mean,0.08393457690998711,0.1402592366758175,0.056324659765830384
CHEMBL239_EC50,18,morgan,mlp,crem_lime,0.16590911367965153,0.14288109298760343,-0.023028020692048096
CHEMBL239_EC50,18,morgan,mlp,crem_mean,0.21609208636147362,0.11133323280948117,-0.10475885355199245
CHEMBL239_EC50,18,morgan,xgboost,crem_lime,0.055896684240655074,0.43022776577689426,0.3743310815362392
CHEMBL239_EC50,18,morgan,xgboost,crem_mean,0.12800398864386145,0.3987848729207582,0.2707808842768967
CHEMBL239_EC50,18,unimol,mlp,crem_lime,0.2470808072240861,0.0838931802225489,-0.16318762700153722
CHEMBL239_EC50,18,unimol,mlp,crem_mean,0.16139692753169166,0.24969580904399255,0.08829888151230089
CHEMBL239_EC50,18,unimol,xgboost,crem_lime,0.160546124589901,0.027745793094246563,-0.13280033149565443
CHEMBL239_EC50,18,unimol,xgboost,crem_mean,0.1975069818937311,0.08014435599393656,-0.11736262589979453
CHEMBL239_EC50,22,molformer,mlp,crem_lime,0.3302098523707488,0.35150476045030593,0.02129490807955714
CHEMBL239_EC50,22,molformer,mlp,crem_mean,0.16240882460046546,0.046764362594326266,-0.1156444620061392
CHEMBL239_EC50,22,molformer,xgboost,crem_lime,0.21497446725909872,0.1578075726307512,-0.05716689462834751
CHEMBL239_EC50,22,molformer,xgboost,crem_mean,0.236190816538131,-0.0013624223154630013,-0.237553238853594
CHEMBL239_EC50,22,morgan,mlp,crem_lime,0.042911628141235204,0.021211558098506972,-0.021700070042728233
CHEMBL239_EC50,22,morgan,mlp,crem_mean,0.00012488419857519897,0.012307752107913602,0.012182867909338403
CHEMBL239_EC50,22,morgan,xgboost,crem_lime,0.17114933685696868,-0.037172360354709964,-0.20832169721167865
CHEMBL239_EC50,22,morgan,xgboost,crem_mean,0.08717460317460309,0.042597362196190425,-0.04457724097841266
CHEMBL239_EC50,22,unimol,mlp,crem_lime,0.1483376602079879,0.2899891574910302,0.14165149728304233
CHEMBL239_EC50,22,unimol,mlp,crem_mean,0.05803042536362524,0.29398835007307206,0.23595792470944682
CHEMBL239_EC50,22,unimol,xgboost,crem_lime,0.1279998146609404,0.18125367689269814,0.05325386223175774
CHEMBL239_EC50,22,unimol,xgboost,crem_mean,0.0515207841841988,0.39705454869855,0.3455337645143512
CHEMBL239_EC50,24,molformer,mlp,crem_lime,-0.1628322226873067,0.012084912084062135,0.17491713477136883
CHEMBL239_EC50,24,molformer,mlp,crem_mean,-0.0324098115865006,-0.09276024152903517,-0.06035042994253457
CHEMBL239_EC50,24,molformer,xgboost,crem_lime,-0.0742902278285385,-0.13983727464102924,-0.06554704681249074
CHEMBL239_EC50,24,molformer,xgboost,crem_mean,-0.05437499897213235,-0.027450829608834233,0.026924169363298115
CHEMBL239_EC50,24,morgan,mlp,crem_lime,0.5706152237150915,0.0962914461731849,-0.47432377754190663
CHEMBL239_EC50,24,morgan,mlp,crem_mean,0.24518085230796324,0.05843294068849833,-0.1867479116194649
CHEMBL239_EC50,24,morgan,xgboost,crem_lime,0.20913111981737043,0.25024702620913786,0.04111590639176743
CHEMBL239_EC50,24,morgan,xgboost,crem_mean,0.0020844970073365643,-0.03469044207478544,-0.036774939082122
CHEMBL239_EC50,24,unimol,mlp,crem_lime,-0.16841629657039428,-0.14600462083274945,0.022411675737644826
CHEMBL239_EC50,24,unimol,mlp,crem_mean,0.04248155396650403,-0.15506189583798938,-0.1975434498044934
CHEMBL239_EC50,24,unimol,xgboost,crem_lime,0.040615055686138435,-0.09961257460511896,-0.1402276302912574
CHEMBL239_EC50,24,unimol,xgboost,crem_mean,0.014688430351792098,-0.025075584386045967,-0.03976401473783807
CHEMBL239_EC50,25,molformer,mlp,crem_lime,-0.00011094582362250009,0.4189884440855553,0.4190993899091778
CHEMBL239_EC50,25,molformer,mlp,crem_mean,0.14349406723931368,0.3183394383394383,0.1748453711001246
CHEMBL239_EC50,25,molformer,xgboost,crem_lime,0.062400366384464535,0.09319475240375043,0.030794386019285892
CHEMBL239_EC50,25,molformer,xgboost,crem_mean,0.09505120752120359,0.33112080159699203,0.23606959407578842
CHEMBL239_EC50,25,morgan,mlp,crem_lime,0.17140742959345423,0.023198581429211468,-0.14820884816424276
CHEMBL239_EC50,25,morgan,mlp,crem_mean,0.10018480258027147,0.23553854777181282,0.13535374519154136
CHEMBL239_EC50,25,morgan,xgboost,crem_lime,0.3300771090366819,0.02810524755637463,-0.3019718614803073
CHEMBL239_EC50,25,morgan,xgboost,crem_mean,0.1675690728322307,0.24645298663431528,0.0788839138020846
CHEMBL239_EC50,25,unimol,mlp,crem_lime,0.00040657940699149905,-0.0009844055870504998,-0.001390984994041999
CHEMBL239_EC50,25,unimol,mlp,crem_mean,0.062048997575448066,0.2311960047467293,0.16914700717128123
CHEMBL239_EC50,25,unimol,xgboost,crem_lime,0.0219017752588746,0.00014721631320433335,-0.021754558945670268
CHEMBL239_EC50,25,unimol,xgboost,crem_mean,0.049404817040284967,0.25833004933534026,0.2089252322950553
CHEMBL239_EC50,26,molformer,mlp,crem_lime,-0.06470718967175494,-0.07781172231024297,-0.013104532638488028
CHEMBL239_EC50,26,molformer,mlp,crem_mean,-0.14295439102375398,-0.1714051591730618,-0.028450768149307804
CHEMBL239_EC50,26,molformer,xgboost,crem_lime,-0.051257985968758905,-0.17391775497246098,-0.12265976900370207
CHEMBL239_EC50,26,molformer,xgboost,crem_mean,-0.1751860950128372,-0.1709583424487117,0.004227752564125498
CHEMBL239_EC50,26,morgan,mlp,crem_lime,-0.02005363800991503,0.1282676063037,0.148321244313615
CHEMBL239_EC50,26,morgan,mlp,crem_mean,-0.10856161292151296,-0.06399757088368693,0.04456404203782603
CHEMBL239_EC50,26,morgan,xgboost,crem_lime,0.004614404588234001,-0.0580435414419383,-0.0626579460301723
CHEMBL239_EC50,26,morgan,xgboost,crem_mean,-0.053769763113051795,-0.0645404243883397,-0.010770661275287911
CHEMBL239_EC50,26,unimol,mlp,crem_lime,0.019292614122530898,-0.19689166165801822,-0.2161842757805491
CHEMBL239_EC50,26,unimol,mlp,crem_mean,-0.09510936334727721,-0.1084947345333937,-0.01338537118611649
CHEMBL239_EC50,26,unimol,xgboost,crem_lime,-0.08501193229076491,-0.08998619136092519,-0.004974259070160275
CHEMBL239_EC50,26,unimol,xgboost,crem_mean,-0.14215838978194037,-0.15247509610211038,-0.01031670632017001
CHEMBL239_EC50,29,molformer,mlp,crem_lime,0.13990657015837446,0.3195502997065727,0.17964372954819827
CHEMBL239_EC50,29,molformer,mlp,crem_mean,0.19572775790454133,0.275956745647635,0.08022898774309367
CHEMBL239_EC50,29,molformer,xgboost,crem_lime,0.09402484967761839,-0.031772992127650036,-0.12579784180526843
CHEMBL239_EC50,29,molformer,xgboost,crem_mean,0.12379207171776274,0.16664250577971676,0.04285043406195402
CHEMBL239_EC50,29,morgan,mlp,crem_lime,0.42059009220540505,0.3120561483873256,-0.10853394381807946
CHEMBL239_EC50,29,morgan,mlp,crem_mean,0.37349367642638187,0.3304580965899116,-0.04303557983647027
CHEMBL239_EC50,29,morgan,xgboost,crem_lime,0.18510041762793836,0.25803900718154266,0.0729385895536043
CHEMBL239_EC50,29,morgan,xgboost,crem_mean,0.1691287107953774,0.16016263569659933,-0.008966075098778059
CHEMBL239_EC50,29,unimol,mlp,crem_lime,0.015564141711835336,0.0018094640483285994,-0.013754677663506736
CHEMBL239_EC50,29,unimol,mlp,crem_mean,0.08086120390617713,0.009705369239200201,-0.07115583466697692
CHEMBL239_EC50,29,unimol,xgboost,crem_lime,0.07647351318705546,0.021428980445905563,-0.0550445327411499
CHEMBL239_EC50,29,unimol,xgboost,crem_mean,0.13151626472438224,0.021251053387085998,-0.11026521133729625
CHEMBL239_EC50,30,molformer,mlp,crem_lime,0.15173299084408368,0.49542976918479703,0.3436967783407133
CHEMBL239_EC50,30,molformer,mlp,crem_mean,0.013269210024328968,0.08280210352987404,0.06953289350554506
CHEMBL239_EC50,30,molformer,xgboost,crem_lime,0.11308652092013301,-0.06534295956054884,-0.17842948048068186
CHEMBL239_EC50,30,molformer,xgboost,crem_mean,-0.06902965982458147,-0.0680238092836397,0.0010058505409417662
CHEMBL239_EC50,30,morgan,mlp,crem_lime,0.17389667126232852,0.41708355146275666,0.24318688020042814
CHEMBL239_EC50,30,morgan,mlp,crem_mean,0.036650675452420935,0.08881413366931834,0.052163458216897406
CHEMBL239_EC50,30,morgan,xgboost,crem_lime,-0.0030548640244014344,0.19311268906990456,0.196167553094306
CHEMBL239_EC50,30,morgan,xgboost,crem_mean,0.006994592708878433,0.030727583756154503,0.02373299104727607
CHEMBL239_EC50,30,unimol,mlp,crem_lime,0.4387580246694007,0.10713094148490869,-0.331627083184492
CHEMBL239_EC50,30,unimol,mlp,crem_mean,0.19857695861393435,0.026901908860447434,-0.1716750497534869
CHEMBL239_EC50,30,unimol,xgboost,crem_lime,0.5595309611784266,0.3538038706730102,-0.20572709050541638
CHEMBL239_EC50,30,unimol,xgboost,crem_mean,0.07850958643801974,0.26091157752929106,0.1824019910912713
CHEMBL239_EC50,35,molformer,mlp,crem_lime,0.15825189872214626,-0.04156572901287226,-0.19981762773501852
CHEMBL239_EC50,35,molformer,mlp,crem_mean,0.13979480679582013,0.021267710641683202,-0.11852709615413692
