dataset,representation,predictor,explainer,median_delta,ci_low,ci_high,components,equivalent
CHEMBL2047_EC50,unimol,xgboost,crem_lime,0.0012384780582187262,-0.0729308571150985,0.16189618144616075,10,False
CHEMBL2047_EC50,unimol,xgboost,crem_mean,0.0006293455805769961,-0.03854144996916993,0.1232784737187741,10,False
CHEMBL204_Ki,molformer,mlp,crem_lime,0.04177737515803053,-0.0082952095802068,0.07640337927444177,47,False
CHEMBL204_Ki,molformer,mlp,crem_mean,0.025494561390288606,0.004071572202533458,0.04489128879924397,47,True
CHEMBL204_Ki,molformer,xgboost,crem_lime,-0.03289306714116269,-0.0665773002419101,0.01091531852308857,47,False
CHEMBL204_Ki,molformer,xgboost,crem_mean,-0.011969484654199065,-0.061225768387795254,0.014506162076793599,47,False
CHEMBL204_Ki,morgan,mlp,crem_lime,-0.023132132545622575,-0.1168921724745555,0.06611913349901727,47,False
CHEMBL204_Ki,morgan,mlp,crem_mean,-0.013081065403306665,-0.04736429346598777,0.01763362296875923,47,True
CHEMBL204_Ki,morgan,xgboost,crem_lime,-0.09018448111613434,-0.14108009977007718,-0.010210575094179414,47,False
CHEMBL204_Ki,morgan,xgboost,crem_mean,-0.0015676273844018335,-0.049859366434647466,0.06892702938614612,47,False
CHEMBL204_Ki,unimol,mlp,crem_lime,-0.04272927972275957,-0.07567219812095928,-0.0030075698606095275,47,False
CHEMBL204_Ki,unimol,mlp,crem_mean,-0.00831810814060967,-0.04608679028968885,0.018002705566295497,47,True
CHEMBL204_Ki,unimol,xgboost,crem_lime,-0.047221340723459,-0.13004437860425333,-0.008205699911201875,47,False
CHEMBL204_Ki,unimol,xgboost,crem_mean,-0.003576260549909299,-0.0383641197987879,0.016294182573171168,47,True
CHEMBL2147_Ki,molformer,mlp,crem_lime,0.0,-0.08940850384992843,0.0353622445661812,13,False
CHEMBL2147_Ki,molformer,mlp,crem_mean,0.0,-0.06588835341229285,0.06818562806716405,13,False
CHEMBL2147_Ki,molformer,xgboost,crem_lime,-0.07941494401441357,-0.25053995784309213,0.0,13,False
CHEMBL2147_Ki,molformer,xgboost,crem_mean,-0.08841369879693425,-0.19110839900224624,-0.015312499999999972,13,False
CHEMBL2147_Ki,morgan,mlp,crem_lime,-0.05132801913583143,-0.1799703483695188,0.0,13,False
CHEMBL2147_Ki,morgan,mlp,crem_mean,-0.04130446431714003,-0.08715011316075003,0.0015214109658921587,13,False
CHEMBL2147_Ki,morgan,xgboost,crem_lime,-0.08292649188785764,-0.369876382150525,0.13867388749579113,13,False
CHEMBL2147_Ki,morgan,xgboost,crem_mean,-0.01467879227273347,-0.09141420940201586,0.0,13,False
CHEMBL2147_Ki,unimol,mlp,crem_lime,0.0,-0.11004019690054813,0.030900545862666995,13,False
CHEMBL2147_Ki,unimol,mlp,crem_mean,0.007845713512885419,-0.15635127186453604,0.023282641019780226,13,False
CHEMBL2147_Ki,unimol,xgboost,crem_lime,0.0,-0.14818913551941365,0.16561647560837064,13,False
CHEMBL2147_Ki,unimol,xgboost,crem_mean,-0.0057885289373904025,-0.08963343448031016,0.1189490071849996,13,False
CHEMBL218_EC50,molformer,mlp,crem_lime,-0.024437985246601485,-0.06009651585552491,0.07899301932734064,20,False
CHEMBL218_EC50,molformer,mlp,crem_mean,0.03277851899666093,-0.050574341831261985,0.07140206643195642,20,False
CHEMBL218_EC50,molformer,xgboost,crem_lime,0.024103189385346765,-0.046930296379561726,0.05317948758000027,20,False
CHEMBL218_EC50,molformer,xgboost,crem_mean,0.014823983482019482,-0.048896303372250746,0.0555575633707422,20,False
CHEMBL218_EC50,morgan,mlp,crem_lime,-0.07794888182312584,-0.17589774889388757,0.06933919533605735,20,False
CHEMBL218_EC50,morgan,mlp,crem_mean,0.01374352647683813,-0.0844929290812865,0.044275456609969864,20,False
CHEMBL218_EC50,morgan,xgboost,crem_lime,-0.042318379106876206,-0.22769491997262425,0.09081955426443633,20,False
CHEMBL218_EC50,morgan,xgboost,crem_mean,-0.008762483896454822,-0.10457353279483751,0.07110282510294305,20,False
CHEMBL218_EC50,unimol,mlp,crem_lime,0.004318693050637451,-0.06914452221461359,0.05522056030849129,20,False
CHEMBL218_EC50,unimol,mlp,crem_mean,-0.0005566967587726009,-0.08905107577572713,0.06746833305228173,20,False
CHEMBL218_EC50,unimol,xgboost,crem_lime,0.006840743244135033,-0.10072585359476069,0.13498029864569205,20,False
CHEMBL218_EC50,unimol,xgboost,crem_mean,0.01062074745432011,-0.05536879436070701,0.04420389278631094,20,False
CHEMBL219_Ki,molformer,mlp,crem_lime,-0.017585884775087834,-0.06574302394202956,0.03598945322863634,34,False
CHEMBL219_Ki,molformer,mlp,crem_mean,-0.007769324807864255,-0.02283259314471872,0.0,34,True
CHEMBL219_Ki,molformer,xgboost,crem_lime,-0.032965941224787715,-0.09113653325610235,0.10027188336659167,34,False
CHEMBL219_Ki,molformer,xgboost,crem_mean,-0.00034981585226679865,-0.026234567901234622,0.0011962783865366727,34,True
CHEMBL219_Ki,morgan,mlp,crem_lime,-0.018439477197649982,-0.09473877770286825,0.0705984055827011,34,False
CHEMBL219_Ki,morgan,mlp,crem_mean,-0.029170130615675933,-0.05182530474104323,0.0003667795219041651,34,False
CHEMBL219_Ki,morgan,xgboost,crem_lime,-0.0038880782772257975,-0.12718364694131945,0.07484404758054569,34,False
CHEMBL219_Ki,morgan,xgboost,crem_mean,0.0,-0.026282380101119933,0.05198241007692226,34,False
CHEMBL219_Ki,unimol,mlp,crem_lime,-0.0008999086481606099,-0.03882801103894395,0.02999648957124037,34,True
CHEMBL219_Ki,unimol,mlp,crem_mean,-0.006753074665374607,-0.03814503579209457,0.0,34,True
CHEMBL219_Ki,unimol,xgboost,crem_lime,-0.002541339405718089,-0.05830577982088253,0.10063968912378293,34,False
CHEMBL219_Ki,unimol,xgboost,crem_mean,-0.00031565656565653386,-0.0622249809426077,0.022483577029031462,34,False
CHEMBL228_Ki,molformer,mlp,crem_lime,-0.048446278053640504,-0.14308624350013258,0.005412940461692599,31,False
CHEMBL228_Ki,molformer,mlp,crem_mean,-0.010372731843320104,-0.03645833333333337,0.0,31,True
CHEMBL228_Ki,molformer,xgboost,crem_lime,-0.04959724674699864,-0.12551692577073828,-0.012086399913837961,31,False
CHEMBL228_Ki,molformer,xgboost,crem_mean,-0.003356481481481502,-0.04918279713211485,0.023809523809523836,31,True
CHEMBL228_Ki,morgan,mlp,crem_lime,-0.009804184105790766,-0.08310836419831662,0.08395076348886168,31,False
CHEMBL228_Ki,morgan,mlp,crem_mean,-0.004233660273498141,-0.043996333949511385,0.002685185185185167,31,True
CHEMBL228_Ki,morgan,xgboost,crem_lime,-0.014489889465813333,-0.1207964276417622,0.06228430488711305,31,False
CHEMBL228_Ki,morgan,xgboost,crem_mean,0.03296628701601987,-0.018287037037037032,0.13973635244642013,31,False
CHEMBL228_Ki,unimol,mlp,crem_lime,0.0006704896521707374,-0.0629575651410143,0.10465630710144166,31,False
CHEMBL228_Ki,unimol,mlp,crem_mean,0.0020319017810097734,0.0,0.058374128757245555,31,False
CHEMBL228_Ki,unimol,xgboost,crem_lime,-0.03011797774527669,-0.0739485868227876,0.010312723255548772,31,False
CHEMBL228_Ki,unimol,xgboost,crem_mean,-0.0002846573914620093,-0.017310707961367522,0.004342887832503514,31,True
CHEMBL231_Ki,molformer,mlp,crem_lime,0.0014751052216954164,-0.18578996900608152,0.14446384850559418,15,False
CHEMBL231_Ki,molformer,mlp,crem_mean,-0.01082373487888591,-0.19791117235184608,0.08619486267883836,15,False
CHEMBL231_Ki,molformer,xgboost,crem_lime,-0.07863808111442602,-0.13229973569750642,0.17344372765941388,15,False
CHEMBL231_Ki,molformer,xgboost,crem_mean,-0.026717231624128063,-0.16059347815203903,0.04760969878491242,15,False
CHEMBL231_Ki,morgan,mlp,crem_lime,-0.12043894981659688,-0.1865450039658612,-0.040623872521899036,15,False
CHEMBL231_Ki,morgan,mlp,crem_mean,-0.11429034779441455,-0.19003025319250721,-0.02995445908603436,15,False
CHEMBL231_Ki,morgan,xgboost,crem_lime,-0.08854877990297982,-0.2986844821196679,0.12958974300350795,15,False
CHEMBL231_Ki,morgan,xgboost,crem_mean,-0.07896244106064106,-0.275815853803378,0.0876827311133145,15,False
CHEMBL231_Ki,unimol,mlp,crem_lime,-0.03937773115300733,-0.06827597282746783,0.13151389294431517,15,False
CHEMBL231_Ki,unimol,mlp,crem_mean,-0.026035659855937365,-0.1464668814554767,-0.005621379667390436,15,False
CHEMBL231_Ki,unimol,xgboost,crem_lime,0.040079485453199365,-0.10384569579730438,0.17157115403862608,15,False
CHEMBL231_Ki,unimol,xgboost,crem_mean,-0.00812862663843053,-0.1101186870608374,0.030027694049206965,15,False
CHEMBL233_Ki,molformer,mlp,crem_lime,0.051957537334006376,0.0,0.1094934212545734,46,False
CHEMBL233_Ki,molformer,mlp,crem_mean,-0.002538941214444262,-0.04913218301301561,0.029740320684487075,46,True
CHEMBL233_Ki,molformer,xgboost,crem_lime,-0.05831202732236036,-0.11577141252669836,-0.006662820791193864,46,False
CHEMBL233_Ki,molformer,xgboost,crem_mean,-0.03724733549938459,-0.07951575426176849,-0.006755189583770279,46,False
CHEMBL233_Ki,morgan,mlp,crem_lime,-0.0038938172311670845,-0.05105081018281227,0.07813275269798955,46,False
CHEMBL233_Ki,morgan,mlp,crem_mean,-0.005362230362230399,-0.02758340593195041,0.06446406586642028,46,False
CHEMBL233_Ki,morgan,xgboost,crem_lime,-0.04310745742547649,-0.10739282729393046,0.0287373254303308,46,False
CHEMBL233_Ki,morgan,xgboost,crem_mean,-0.009644266871845747,-0.03193722675942971,0.05348528015194676,46,False
CHEMBL233_Ki,unimol,mlp,crem_lime,-0.004548527193980547,-0.08068476419962142,0.03448793399500642,46,False
CHEMBL233_Ki,unimol,mlp,crem_mean,-0.004007422395103586,-0.05370095683858947,0.023567526945197932,46,False
CHEMBL233_Ki,unimol,xgboost,crem_lime,0.016219129655091577,-0.022710854017033204,0.040644426399587194,46,True
CHEMBL233_Ki,unimol,xgboost,crem_mean,-0.0038780077727311457,-0.02846795054674857,0.04081924153862681,46,True
CHEMBL236_Ki,molformer,mlp,crem_lime,-0.023981104062101924,-0.13272693308757028,0.03588662045502503,37,False
CHEMBL236_Ki,molformer,mlp,crem_mean,-0.012873078152676768,-0.04753269764811853,0.0,37,True
CHEMBL236_Ki,molformer,xgboost,crem_lime,-0.004314778812034367,-0.08518767458815564,0.022320817850028873,37,False
CHEMBL236_Ki,molformer,xgboost,crem_mean,-0.0007182681913864668,-0.05189777409519526,0.0305014520700795,37,False
CHEMBL236_Ki,morgan,mlp,crem_lime,-0.13911123052533134,-0.16389815751161302,-0.007933143325660419,37,False
CHEMBL236_Ki,morgan,mlp,crem_mean,-0.07642888467299774,-0.1009384788853313,-0.013725490196078424,37,False
CHEMBL236_Ki,morgan,xgboost,crem_lime,-0.0493788302440833,-0.16124079177400477,0.0,37,False
CHEMBL236_Ki,morgan,xgboost,crem_mean,-0.03503204895458922,-0.06529467894825894,0.0,37,False
CHEMBL236_Ki,unimol,mlp,crem_lime,-0.0595224359846257,-0.09855581730749072,0.0009827150149730596,37,False
CHEMBL236_Ki,unimol,mlp,crem_mean,-0.0003507072225021335,-0.060387200025825705,0.027353266888150533,37,False
CHEMBL236_Ki,unimol,xgboost,crem_lime,-0.020751389912378168,-0.09566801544836354,0.037173312400814874,37,False
CHEMBL236_Ki,unimol,xgboost,crem_mean,0.0,-0.010792557097867889,0.0432501385647351,37,True
CHEMBL237_EC50,molformer,mlp,crem_lime,0.023131480057576766,-0.1078544283806677,0.2723682609307079,18,False
CHEMBL237_EC50,molformer,mlp,crem_mean,-0.01805290836631724,-0.07893811793365359,0.06413147582265222,18,False
CHEMBL237_EC50,molformer,xgboost,crem_lime,0.013591154535744332,-0.10208378418990643,0.17009954087494417,18,False
CHEMBL237_EC50,molformer,xgboost,crem_mean,-0.036629279311219634,-0.09016923758606378,0.04155277685491482,18,False
CHEMBL237_EC50,morgan,mlp,crem_lime,-0.03214366756333072,-0.16630586364364242,0.09198871774021705,18,False
CHEMBL237_EC50,morgan,mlp,crem_mean,0.007460708291124857,-0.04166619101945314,0.1608545165555726,18,False
CHEMBL237_EC50,morgan,xgboost,crem_lime,-0.0878985572958157,-0.11766169683181163,0.09574094208887797,18,False
CHEMBL237_EC50,morgan,xgboost,crem_mean,-0.01689401455026453,-0.060737032059198344,0.20032682341451832,18,False
CHEMBL237_EC50,unimol,mlp,crem_lime,-0.019869040122811696,-0.06706347114596584,0.19730002599791296,18,False
CHEMBL237_EC50,unimol,mlp,crem_mean,0.04661141431217101,-0.03537630971999019,0.09470389033063628,18,False
CHEMBL237_EC50,unimol,xgboost,crem_lime,-0.00033187780246792496,-0.07265389316956636,0.12885177583106266,18,False
CHEMBL237_EC50,unimol,xgboost,crem_mean,0.014631778483419367,-0.07537205482641991,0.06750054987516524,18,False
CHEMBL237_Ki,molformer,mlp,crem_lime,-0.037196448083904834,-0.12333950344231517,-0.003555540625631775,40,False
CHEMBL237_Ki,molformer,mlp,crem_mean,-0.026921601671617983,-0.059329333495508924,-0.008372257757599241,40,False
CHEMBL237_Ki,molformer,xgboost,crem_lime,0.008610186774094059,-0.015096197679859199,0.054376123640500915,40,False
CHEMBL237_Ki,molformer,xgboost,crem_mean,-0.021009700176366816,-0.043711174830246224,0.009621824972327865,40,True
CHEMBL237_Ki,morgan,mlp,crem_lime,0.012897377654426292,-0.10166992169668157,0.11888987688024222,40,False
CHEMBL237_Ki,morgan,mlp,crem_mean,-0.025054519905468385,-0.05058543334654195,0.0364401696759898,40,False
CHEMBL237_Ki,morgan,xgboost,crem_lime,0.0025308305044245832,-0.08554174277658796,0.11416494305932129,40,False
CHEMBL237_Ki,morgan,xgboost,crem_mean,0.05192640026362877,-0.0026424554810327828,0.12232882859040402,40,False
CHEMBL237_Ki,unimol,mlp,crem_lime,-0.05027179628580986,-0.1077224571189629,-0.0040369971766659185,40,False
CHEMBL237_Ki,unimol,mlp,crem_mean,-0.006316078214543548,-0.029260734760498282,0.01709799239561147,40,True
CHEMBL237_Ki,unimol,xgboost,crem_lime,0.005042391947763266,-0.0723579623072539,0.04343542780193373,40,False
CHEMBL237_Ki,unimol,xgboost,crem_mean,-0.013375411943154909,-0.04590710940092793,0.009827344634372265,40,True
CHEMBL238_Ki,molformer,mlp,crem_lime,-0.011124216283003899,-0.026832527019715613,0.03304586031375553,19,True
CHEMBL238_Ki,molformer,mlp,crem_mean,-0.00043676561533709246,-0.03880017125470893,0.03059749647722343,19,True
CHEMBL238_Ki,molformer,xgboost,crem_lime,0.013867329340598214,-0.10830746806685124,0.10466928667275843,19,False
CHEMBL238_Ki,molformer,xgboost,crem_mean,0.0,-0.06608477676571722,0.047655614061864054,19,False
