dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL204_Ki,20,morgan,mlp,2,0.0709677419354838,0.0709677419354838,0.0709677419354838,0.0
CHEMBL204_Ki,20,molformer,xgboost,2,0.0146627565982404,0.0146627565982404,0.0146627565982404,0.0
CHEMBL204_Ki,20,molformer,mlp,2,0.1397849462365591,0.1397849462365591,0.1397849462365591,0.0
CHEMBL204_Ki,20,unimol,xgboost,2,0.0575035063113604,0.0575035063113604,0.0575035063113604,0.0
CHEMBL204_Ki,20,unimol,mlp,2,0.0284629981024667,0.0284629981024667,0.0284629981024667,0.0
CHEMBL204_Ki,35,morgan,xgboost,2,-0.0269926152279093,-0.0269926152279093,-0.0154061624649859,0.0115864527629233
CHEMBL204_Ki,35,morgan,mlp,2,0.1559290382819794,-0.0200746965452847,0.1559290382819794,0.1760037348272642
CHEMBL204_Ki,35,molformer,xgboost,2,0.0570409982174688,-0.0204991087344028,0.0570409982174688,0.0775401069518716
CHEMBL204_Ki,35,molformer,mlp,2,0.1764705882352941,-0.0098039215686274,0.1764705882352941,0.1862745098039215
CHEMBL204_Ki,35,unimol,xgboost,2,0.0092592592592592,-0.0076252723311546,0.0092592592592592,0.0168845315904139
CHEMBL204_Ki,35,unimol,mlp,2,-0.0157293686705451,-0.0157293686705451,-0.0154061624649859,0.0003232062055591
CHEMBL204_Ki,155,morgan,xgboost,3,0.0262374199020562,0.0262374199020562,0.0784603403651022,0.0522229204630459
CHEMBL204_Ki,155,morgan,mlp,3,0.0490696649275882,0.0490696649275882,0.0614940744728487,0.0124244095452604
CHEMBL204_Ki,155,molformer,xgboost,3,0.2669022359132661,0.2669022359132661,0.4064803678746707,0.1395781319614045
CHEMBL204_Ki,155,molformer,mlp,3,0.0912841567603472,0.0912841567603472,0.1332972582972582,0.042013101536911
CHEMBL204_Ki,155,unimol,xgboost,3,-0.1000935525661146,-0.1000935525661146,-0.0903616823691281,0.0097318701969865
CHEMBL204_Ki,155,unimol,mlp,3,-0.0814540707717014,-0.0839809505142983,-0.0768584433917912,0.0071225071225071
CHEMBL2147_Ki,8,morgan,xgboost,2,0.115829346092504,0.115829346092504,0.1200159489633173,0.0041866028708133
CHEMBL2147_Ki,8,morgan,mlp,2,-0.0116559567523459,-0.0155293757649938,-0.0116559567523459,0.0038734190126478
CHEMBL2147_Ki,8,molformer,xgboost,2,0.0060077546572376,0.0060077546572376,0.0073828265678859,0.0013750719106483
CHEMBL2147_Ki,8,molformer,mlp,2,0.2432523616734143,0.2432523616734143,0.3740031897926634,0.1307508281192491
CHEMBL2147_Ki,8,unimol,xgboost,2,0.0864755136504362,0.0864755136504362,0.1575,0.0710244863495637
CHEMBL2147_Ki,8,unimol,mlp,2,0.0951754385964912,0.0762892078681552,0.0951754385964912,0.0188862307283359
CHEMBL218_EC50,49,morgan,xgboost,2,0.6114800498592058,0.6114800498592058,0.6305841341806816,0.0191040843214758
CHEMBL218_EC50,49,morgan,mlp,2,0.701100680720246,0.6973962028309855,0.701100680720246,0.0037044778892605
CHEMBL218_EC50,49,molformer,xgboost,2,0.4217494238166713,0.4217494238166713,0.4753363803384104,0.0535869565217391
CHEMBL218_EC50,49,molformer,mlp,2,0.4349436392914655,0.4349436392914655,0.4400513285024156,0.00510768921095
CHEMBL218_EC50,49,unimol,xgboost,2,0.1089195526695527,0.1089195526695527,0.203484770060857,0.0945652173913042
