dataset,representation,predictor,explainer,trained_seed_mean_nap,random_permutation_mean_nap,trained_minus_random_nap,test_pairs,permutations_used,permutation_ids,full_10_trained_minus_random_nap,difference_from_10,absolute_difference_from_10
CHEMBL2047_EC50,morgan,xgboost,crem_mean,0.0030423990293071005,-0.014204364736195602,0.004890522005402298,10,1,42,-0.027183253317053208,0.032073775322455506,0.032073775322455506
CHEMBL2047_EC50,unimol,mlp,crem_lime,0.028001291318150916,0.113963005259231,-0.013859579467273425,10,1,42,-0.06327308105474691,0.049413501587473485,0.049413501587473485
CHEMBL2047_EC50,unimol,mlp,crem_mean,0.044463270987022366,0.0391926153171298,0.03846980756399253,10,1,42,-0.004906857495458206,0.04337666505945073,0.04337666505945073
CHEMBL2047_EC50,unimol,xgboost,crem_lime,0.11188152533419254,-0.0090103901492243,0.024938186335470708,10,1,42,-0.006241270754149958,0.031179457089620666,0.031179457089620666
CHEMBL2047_EC50,unimol,xgboost,crem_mean,0.03376211387201985,0.037274486141948046,0.0054083713295755625,10,1,42,-0.015893118084264884,0.021301489413840448,0.021301489413840448
CHEMBL204_Ki,molformer,mlp,crem_lime,0.13236541816729094,0.021743857831791,0.023544151697533468,47,1,42,0.029020728032329697,-0.005476576334796229,0.005476576334796229
CHEMBL204_Ki,molformer,mlp,crem_mean,0.0687848613431929,0.0194964159205645,0.027270084260446664,47,1,42,0.012471652470809967,0.014798431789636697,0.014798431789636697
CHEMBL204_Ki,molformer,xgboost,crem_lime,0.028343822285206835,0.0240450118411976,0.012586635243533768,47,1,42,-0.016916403379056616,0.029503038622590384,0.029503038622590384
CHEMBL204_Ki,molformer,xgboost,crem_mean,0.028765863388003837,0.0412350953215014,0.010372068723063267,47,1,42,-0.022253083671804882,0.03262515239486815,0.03262515239486815
CHEMBL204_Ki,morgan,mlp,crem_lime,0.09563225996512903,0.1026676410009743,0.00038684081921508406,47,1,42,-0.036331062508808354,0.03671790332802344,0.03671790332802344
CHEMBL204_Ki,morgan,mlp,crem_mean,0.07077072170888514,0.0629925629925629,-0.0007962896599772989,47,1,42,-0.023069350410899702,0.022273060750922405,0.022273060750922405
CHEMBL204_Ki,morgan,xgboost,crem_lime,0.013677097856072629,0.0133288568071176,-0.0018547838957202606,47,1,42,-0.09484820945094148,0.09299342555522122,0.09299342555522122
CHEMBL204_Ki,morgan,xgboost,crem_mean,0.047253885653332,0.0,0.013853545333808434,47,1,42,-0.029249999999999974,0.043103545333808405,0.043103545333808405
CHEMBL204_Ki,unimol,mlp,crem_lime,0.08308362447215921,0.0711140739801605,0.01743687858924143,47,1,42,-0.03499050924722056,0.05242738783646199,0.05242738783646199
CHEMBL204_Ki,unimol,mlp,crem_mean,0.07963504132421456,0.0631190774678169,6.61735355041021e-05,47,1,42,-0.015042256832920271,0.015108430368424373,0.015108430368424373
CHEMBL204_Ki,unimol,xgboost,crem_lime,0.06281801054039214,0.1060703962152223,-0.034953589169572585,47,1,42,-0.0464171924689632,0.011463603299390612,0.011463603299390612
CHEMBL204_Ki,unimol,xgboost,crem_mean,0.07765392486002927,0.081278220967302,-0.020798492058968193,47,1,42,-0.028077706463467387,0.007279214404499194,0.007279214404499194
CHEMBL2147_Ki,molformer,mlp,crem_lime,0.03817616665195677,0.0360769222877803,0.0,13,1,42,-0.06795728491409112,0.06795728491409112,0.06795728491409112
CHEMBL2147_Ki,molformer,mlp,crem_mean,0.09813767154209903,0.044377260492546,0.033238636363636304,13,1,42,0.0,0.033238636363636304,0.033238636363636304
CHEMBL2147_Ki,molformer,xgboost,crem_lime,-0.016679760426659498,0.0250886214760895,-0.041768381902748994,13,1,42,-0.11186105399748851,0.07009267209473952,0.07009267209473952
CHEMBL2147_Ki,molformer,xgboost,crem_mean,0.036476345808845,0.1320331326349589,-0.008750000000000004,13,1,42,-0.051671925578676524,0.04292192557867652,0.04292192557867652
CHEMBL2147_Ki,morgan,mlp,crem_lime,0.09355485158374162,0.1528321278533511,-0.07193238052635156,13,1,42,-0.11127584916215538,0.03934346863580382,0.03934346863580382
CHEMBL2147_Ki,morgan,mlp,crem_mean,0.05661961758153853,0.2320214147264148,-0.0474918521611121,13,1,42,-0.04699839420921841,-0.0004934579518936846,0.0004934579518936846
CHEMBL2147_Ki,morgan,xgboost,crem_lime,-0.006370295114856434,0.3668616171104721,-0.06341064609617963,13,1,42,-0.21525629027747661,0.15184564418129698,0.15184564418129698
CHEMBL2147_Ki,morgan,xgboost,crem_mean,0.03674745064097427,0.0878623188405797,0.0,13,1,42,-0.029351365932828707,0.029351365932828707,0.029351365932828707
CHEMBL2147_Ki,unimol,mlp,crem_lime,0.0,0.0856902385385142,0.0,13,1,42,0.0,0.0,0.0
CHEMBL2147_Ki,unimol,mlp,crem_mean,0.08459537908545246,0.1669278150731837,0.0,13,1,42,-0.05165859235049586,0.05165859235049586,0.05165859235049586
