dataset,representation,predictor,explainer,permutations,mean_of_permutation_medians,sd_of_permutation_medians,median_of_permutation_medians,q25_of_permutation_medians,q75_of_permutation_medians,minimum_permutation_median,maximum_permutation_median
CHEMBL218_EC50,molformer,xgboost,crem_mean,10,0.09876122663806215,0.05890179239529508,0.0823195288453018,0.07236988778812489,0.11359559574197192,0.0227391382563796,0.2070630859992244
CHEMBL218_EC50,morgan,mlp,crem_lime,10,0.06411867568925306,0.04350052971416384,0.06770363850211872,0.031868431417859916,0.07140922383286333,0.02109316881542755,0.1704961974051601
CHEMBL218_EC50,morgan,mlp,crem_mean,10,0.1197928283227854,0.0526845565274792,0.10675655209568487,0.08992592509909841,0.15875763019377032,0.0369641364756757,0.20775616174157924
CHEMBL218_EC50,morgan,xgboost,crem_lime,10,0.05878434593646474,0.04966106995802722,0.04881043975630185,0.030692298817529426,0.09172379600402139,-0.007097041398160801,0.15304896716820143
CHEMBL218_EC50,morgan,xgboost,crem_mean,10,0.06099579853884066,0.05982275346078635,0.04902660436934625,0.010342553280053238,0.09007634068648127,0.0,0.1670082587142576
CHEMBL218_EC50,unimol,mlp,crem_lime,10,0.058735528564685134,0.03809424146586718,0.0567858490032314,0.04572404263202292,0.06978929757416216,-0.00210977644075595,0.11917542491746094
CHEMBL218_EC50,unimol,mlp,crem_mean,10,0.09272035560987528,0.03139680940111934,0.09082696335871104,0.07383933038266756,0.1195154114740446,0.04394972009894165,0.13599877261512283
CHEMBL218_EC50,unimol,xgboost,crem_lime,10,0.08349719951535874,0.05122785414195326,0.0790437072376167,0.06052345939910581,0.10268481863409647,0.0200126646072257,0.19829087282612268
CHEMBL218_EC50,unimol,xgboost,crem_mean,10,0.08795854051684604,0.03846668426723859,0.09140916905033357,0.057658371414060536,0.11661224272511767,0.0229630249998553,0.1453943183194653
CHEMBL219_Ki,molformer,mlp,crem_lime,10,0.07342835888295177,0.05494697725165256,0.060619749744505146,0.044259204970917884,0.08938499193027867,0.007854815838376,0.18207812391559514
CHEMBL219_Ki,molformer,mlp,crem_mean,10,0.031796052156104676,0.01825463887629262,0.029811532603048526,0.025703124443550777,0.03785808901106277,0.0012896825396825,0.07273511256354395
CHEMBL219_Ki,molformer,xgboost,crem_lime,10,0.07629492192063203,0.032943567621151484,0.0745007356759458,0.056193184031096036,0.0911541162834114,0.031252135206121696,0.12906854962435083
CHEMBL219_Ki,molformer,xgboost,crem_mean,10,0.0255574117876314,0.02122436059102829,0.022207943459001574,0.012014870466082787,0.036499732193357046,0.0,0.06007638902602609
CHEMBL219_Ki,morgan,mlp,crem_lime,10,0.15280244915483818,0.07205197871536077,0.1590124062219474,0.086888552910312,0.20711678955001264,0.05011697079537865,0.2619928685192648
CHEMBL219_Ki,morgan,mlp,crem_mean,10,0.05806357654299125,0.022170396596478178,0.05847618636946015,0.043337006985262765,0.06892353022211208,0.0207091519882217,0.09082453494218334
CHEMBL219_Ki,morgan,xgboost,crem_lime,10,0.0873950158358715,0.03661124589403177,0.0934312886798295,0.0644005410762438,0.10854011573210053,0.0278281055662081,0.145892894979542
CHEMBL219_Ki,morgan,xgboost,crem_mean,10,0.027292908879266685,0.019978906515603488,0.030694226858999526,0.012664487466858988,0.04547833834308291,0.0,0.05060356269051785
CHEMBL219_Ki,unimol,mlp,crem_lime,10,0.052514400413431396,0.023011310108560515,0.0561576619699816,0.04508084994272968,0.06678005238674073,0.00795586634050655,0.0848743460508529
