dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL218_EC50,unimol,xgboost,46,20267948,20,0.08421052631578946,True,0.55,1.9633869695639306,2.0997102796536984,0.1235580444335937
CHEMBL218_EC50,unimol,xgboost,47,20267949,20,-0.015037593984962403,True,0.55,1.9792303252196006,2.104556575267356,0.0442157983779907
CHEMBL218_EC50,unimol,xgboost,48,20267950,20,-0.1356835018228334,True,0.25,1.979779772756069,2.11195762345164,0.02462995052337645
CHEMBL218_EC50,unimol,xgboost,49,20267951,20,-0.2764080101690228,True,0.05,1.9795294928526572,2.107197351239995,0.0
CHEMBL218_EC50,unimol,xgboost,50,20267952,20,0.2120300751879699,True,0.6,1.9642933177923851,2.090644613466909,0.047167301177978446
CHEMBL218_EC50,unimol,xgboost,51,20267953,20,-0.2197141329281123,True,0.3,1.9952282118773155,2.1243567582507756,0.028056621551513602
CHEMBL219_Ki,molformer,mlp,42,20268944,34,0.0050420168067226885,True,0.5588235294117647,1.7520407873862693,1.8735479522025424,0.07475548982620235
CHEMBL219_Ki,molformer,mlp,43,20268945,34,0.07135217723453018,True,0.4411764705882353,1.7526194117469711,1.859747547865809,0.0503633618354797
CHEMBL219_Ki,molformer,mlp,44,20268946,34,0.08449197860962566,True,0.5,1.764811443663421,1.8656609222795408,0.031442165374755845
CHEMBL219_Ki,molformer,mlp,45,20268947,34,-0.005347593582887699,True,0.35294117647058826,1.789020094532903,1.880062949617211,0.06260609626770014
CHEMBL219_Ki,molformer,mlp,46,20268948,34,0.16271963330786857,True,0.6176470588235294,1.7573871031348207,1.8673061097025159,0.09781688451766965
CHEMBL219_Ki,molformer,mlp,47,20268949,34,-0.04537815126050419,True,0.47058823529411764,1.7823631252380743,1.8872170008743054,0.06803387403488155
CHEMBL219_Ki,molformer,mlp,48,20268950,34,0.11504965622612681,True,0.5882352941176471,1.7689283680334575,1.8644590048762082,0.05667573213577265
CHEMBL219_Ki,molformer,mlp,49,20268951,34,0.2718105423987777,True,0.5882352941176471,1.752823746987728,1.855061651954524,0.04168200492858885
CHEMBL219_Ki,molformer,mlp,50,20268952,34,-0.21161191749427039,True,0.47058823529411764,1.7761134695425518,1.8857481535573886,0.0602593421936035
CHEMBL219_Ki,molformer,mlp,51,20268953,34,0.02918258212375859,True,0.5588235294117647,1.7601823996916302,1.8629760572818646,0.0718142986297607
CHEMBL219_Ki,molformer,xgboost,42,20268944,34,0.09793735676088618,True,0.6176470588235294,1.7396143935127182,1.8514095585532517,0.0662466287612915
CHEMBL219_Ki,molformer,xgboost,43,20268945,34,-0.02174679828821491,True,0.3235294117647059,1.7692127032259695,1.8698646813455515,0.0223360657691955
CHEMBL219_Ki,molformer,xgboost,44,20268946,34,0.13155080213903741,True,0.5588235294117647,1.7242653244503168,1.8260903969365427,0.1187696456909179
CHEMBL219_Ki,molformer,xgboost,45,20268947,34,-0.10405684192642468,True,0.35294117647058826,1.792522708890795,1.8863496534499251,0.0442228317260742
CHEMBL219_Ki,molformer,xgboost,46,20268948,34,0.2488922841864018,True,0.5882352941176471,1.7550934042068853,1.8618099388578675,0.12263333797454831
