scenario,rationale,explainer,dataset,component_id,representation,predictor,trained_nap,trained_ap,trained_prevalence,permuted_nap,permuted_ap,permuted_prevalence,delta_nap_rescore,delta_nap_reference,rescore_minus_reference_delta_nap
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,153,unimol,xgboost,-0.050039997894710066,0.15413444614037244,0.19444444444444445,0.031322406134413,0.21967638271938825,0.19444444444444445,-0.08136240402912306,-0.08136240402912304,-2.7755575615628914e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,155,molformer,mlp,0.17974280815183205,0.3530365810775013,0.21126760563380284,0.06852690599812655,0.2653169962802125,0.21126760563380284,0.1112159021537055,0.11121590215370546,4.163336342344337e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,155,molformer,xgboost,0.06201104698483684,0.26017772719930793,0.21126760563380284,0.36977636867633756,0.5029222062799282,0.21126760563380284,-0.3077653216915007,-0.3077653216915007,0.0
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,155,morgan,mlp,0.3918423918902336,0.5203263936035646,0.21126760563380284,0.2173453534962255,0.3826949267012483,0.21126760563380284,0.17449703839400812,0.1744970383940082,-8.326672684688674e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,155,morgan,xgboost,0.2165485435227121,0.3820664568629842,0.21126760563380284,0.3874151426489251,0.5168344787090113,0.21126760563380284,-0.17086659912621302,-0.17086659912621296,-5.551115123125783e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,155,unimol,mlp,0.053285057040246546,0.25329525625709587,0.21126760563380284,0.298856685904745,0.4469855550797989,0.21126760563380284,-0.24557162886449846,-0.24557162886449838,-8.326672684688674e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,155,unimol,xgboost,-0.023672587599611005,0.19259626893551807,0.21126760563380284,0.04636330499249373,0.24783584619126264,0.21126760563380284,-0.07003589259210473,-0.07003589259210469,-4.163336342344337e-17
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,157,molformer,mlp,-0.09904039630748156,0.1521688371342285,0.22857142857142856,0.10141625038563566,0.3068068217260618,0.22857142857142856,-0.20045664669311722,-0.2008073911606206,0.0003507444675033833
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,157,molformer,xgboost,-0.10747873104985489,0.14565926461868337,0.22857142857142856,0.006487245264976002,0.23357587491869578,0.22857142857142856,-0.1139659763148309,-0.11554133639713533,0.001575360082304439
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,157,morgan,mlp,-0.04011653521646916,0.19762438711872377,0.22857142857142856,-0.00945803119244705,0.2212752330801123,0.22857142857142856,-0.030658504024022107,-0.030707853990177905,4.934996615579834e-05
fixed_selected_support_0_60,boundary_extended,crem_lime_abs,CHEMBL244_Ki,157,morgan,xgboost,-0.08757965478861923,0.1610099805916366,0.22857142857142856,-0.051459151154604664,0.18887436910930497,0.22857142857142856,-0.03612050363401457,-0.0361260852902622,5.5816562476301845e-06
