source,dataset,component_id,rationale,representation,predictor,seed,variant,baseline,atoms,positive_atoms,prevalence,score_unique_values,score_zero_fraction,observed_ap,observed_nap,null_mean_ap,null_sd_ap,null_mean_nap,null_sd_nap,null_adjusted_nap,null_z,empirical_upper_p,precision_at_changed_count,recall_at_changed_count,changed_atom_enrichment_at_changed_count,cutoff_tie_atoms
generator,CHEMBL204_Ki,55,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,71,3,0.04225352112676056,26,0.28169014084507044,0.47777777777777775,0.4547385620915032,0.08581269050027122,0.07614158197811427,0.045480897434106736,0.07950076941832519,0.4092576646573965,5.147845330954259,0.005988023952095809,0.3333333333333333,0.3333333333333333,7.888888888888888,1
generator,CHEMBL204_Ki,55,strict_unmatched,,,,generator_only,support_any,71,1,0.014084507042253521,2,0.28169014084507044,0.0196078431372549,0.005602240896358543,0.018127589063794528,0.0024488328232267495,0.004100840336134453,0.002483816149272846,0.0015014005602240893,0.6044733063933232,0.7325349301397206,0.0196078431372549,0.0196078431372549,1.392156862745098,51
generator,CHEMBL204_Ki,55,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,71,1,0.014084507042253521,26,0.28169014084507044,0.25,0.23928571428571427,0.05233719946112938,0.10986536239870705,0.03879915945343123,0.11143486757583144,0.20048655483228303,1.7991366543855933,0.03992015968063872,0.0,0.0,0.0,1
generator,CHEMBL204_Ki,56,boundary_extended,,,,generator_only,support_any,61,3,0.04918032786885246,2,0.11475409836065574,0.05555555555555555,0.006704980842911876,0.0511590771098968,0.006730444970513052,0.0020810983397190276,0.007078571434505107,0.004623882503192848,0.6532225528802794,0.7005988023952096,0.05555555555555555,0.05555555555555555,1.1296296296296295,54
generator,CHEMBL204_Ki,56,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,61,3,0.04918032786885246,27,0.11475409836065574,0.6984126984126984,0.6828133552271483,0.11306644696244078,0.09899679421730409,0.06719057352946359,0.10411731805613017,0.6156227816976847,5.912779864016468,0.001996007984031936,0.6666666666666666,0.6666666666666666,13.555555555555555,1
generator,CHEMBL204_Ki,56,strict_unmatched,,,,generator_only,support_any,61,1,0.01639344262295082,2,0.11475409836065574,0.018518518518518517,0.002160493827160492,0.0182762598664238,0.0006760494458624733,0.0019141975308641958,0.0006873169366268481,0.0002462962962962961,0.35834457609184894,0.8862275449101796,0.018518518518518517,0.018518518518518517,1.1296296296296295,54
generator,CHEMBL204_Ki,56,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,61,1,0.01639344262295082,27,0.11475409836065574,1.0,1.0,0.06707956685087112,0.11964432065468883,0.0515308929650523,0.12163839266560031,0.9484691070349477,7.797448537834695,0.011976047904191617,1.0,1.0,61.0,1
generator,CHEMBL204_Ki,66,boundary_extended,,,,generator_only,support_any,63,12,0.19047619047619047,2,0.19047619047619047,0.23529411764705882,0.05536332179930797,0.19320448179271707,0.01867735012921292,0.00337024221453288,0.023072020747851252,0.05199307958477509,2.2535121718637203,0.05788423153692615,0.2352941176470588,0.2352941176470588,1.2352941176470587,51
generator,CHEMBL204_Ki,66,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,63,12,0.19047619047619047,29,0.19047619047619047,0.26697825594884417,0.09450255146621928,0.23130958381724034,0.05532590801475911,0.05044125059776749,0.0683437687241142,0.04406130086845179,0.6447010706464793,0.21756487025948104,0.3333333333333333,0.3333333333333333,1.75,6
generator,CHEMBL204_Ki,66,strict_unmatched,,,,generator_only,support_any,63,3,0.047619047619047616,2,0.19047619047619047,0.058823529411764705,0.011764705882352944,0.04997572362278244,0.008744044721958876,0.0024745098039215697,0.00918124695805682,0.009290196078431375,1.0118664840268727,0.49101796407185627,0.0588235294117647,0.0588235294117647,1.2352941176470587,51
generator,CHEMBL204_Ki,66,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,63,3,0.047619047619047616,29,0.19047619047619047,0.15317460317460316,0.11083333333333333,0.09513674017352226,0.06488561863976704,0.04989357718219838,0.0681298995717554,0.06093975615113494,0.8944642005079181,0.1596806387225549,0.0,0.0,0.0,1
generator,CHEMBL204_Ki,67,boundary_extended,,,,generator_only,support_any,66,5,0.07575757575757576,1,0.0,0.07575757575757576,0.0,0.07575757575757576,0.0,0.0,0.0,0.0,,1.0,0.07575757575757576,0.07575757575757576,1.0,66
generator,CHEMBL204_Ki,67,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,66,5,0.07575757575757576,31,0.0,0.21625781625781626,0.15201665365599795,0.12833148740810546,0.0769121865909388,0.05688324867106493,0.08321646418036002,0.09513340498493303,1.1432041233901107,0.1317365269461078,0.0,0.0,0.0,1
generator,CHEMBL204_Ki,67,strict_unmatched,,,,generator_only,support_any,66,2,0.030303030303030304,1,0.0,0.030303030303030304,0.0,0.030303030303030293,1.0418764835294458e-17,0.0,0.0,0.0,,1.0,0.030303030303030304,0.030303030303030304,1.0,66
generator,CHEMBL204_Ki,67,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,66,2,0.030303030303030304,31,0.0,0.11688311688311688,0.08928571428571427,0.08483202128571572,0.10228197672980845,0.05623302195089433,0.10547828850261495,0.033052692334819944,0.31336015026448333,0.17764471057884232,0.0,0.0,0.0,1
generator,CHEMBL204_Ki,70,boundary_extended,,,,generator_only,support_any,64,8,0.125,2,0.21875,0.16,0.04,0.1272125,0.016169597413387325,0.0025285714285714273,0.018479539901014082,0.03747142857142857,2.0277251907863945,0.10179640718562874,0.16,0.16,1.28,50
generator,CHEMBL204_Ki,70,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,64,8,0.125,29,0.21875,0.9704861111111112,0.9662698412698413,0.1563929671862007,0.0492498155629108,0.035877676784229366,0.056285503500469486,0.9303921644856119,16.52987193190608,0.001996007984031936,0.875,0.875,7.0,1
generator,CHEMBL204_Ki,70,strict_unmatched,,,,generator_only,support_any,64,2,0.03125,2,0.21875,0.04,0.00903225806451613,0.034784999999999996,0.006759819918508281,0.003649032258064517,0.006977878625556936,0.005383225806451612,0.7714702555494727,0.6207584830339321,0.04,0.04,1.28,50
generator,CHEMBL204_Ki,70,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,64,2,0.03125,29,0.21875,0.1736111111111111,0.14695340501792115,0.06474806422592348,0.047848615759955304,0.03457864694288876,0.04939211949414741,0.11237475807503239,2.2751556164409577,0.029940119760479042,0.0,0.0,0.0,6
generator,CHEMBL204_Ki,73,boundary_extended,,,,generator_only,support_any,67,19,0.2835820895522388,2,0.07462686567164178,0.24101056686009678,-0.059422750424448216,0.28444502445328534,0.01453779007045017,0.00120451329937746,0.020292331973336693,-0.060627263723825674,-2.9876932726848477,1.0,0.22580645161290322,0.22580645161290322,0.7962648556876061,62
generator,CHEMBL204_Ki,73,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,67,19,0.2835820895522388,21,0.07462686567164178,0.4335156885192747,0.2092823152248209,0.31889952382817854,0.056814760617825796,0.0492972520101659,0.07930393669571516,0.159985063214655,2.017365970475197,0.03992015968063872,0.42105263157894735,0.42105263157894735,1.4847645429362881,3
generator,CHEMBL204_Ki,73,strict_unmatched,,,,generator_only,support_any,67,9,0.13432835820895522,2,0.07462686567164178,0.10450435992082598,-0.034451860091459646,0.1354086556464987,0.010221896320927388,0.0012479297985415895,0.011808052646588532,-0.035699789890001235,-3.023342710139023,1.0,0.08064516129032258,0.08064516129032258,0.600358422939068,62
generator,CHEMBL204_Ki,73,strict_unmatched,,,,generator_only,selected_mean_nearest_train_tanimoto,67,9,0.13432835820895522,21,0.07462686567164178,0.37283280566862653,0.2755137582723789,0.1802492526422306,0.06681387269410562,0.05304655046602498,0.0771815425949151,0.22246720780635393,2.8823887204997454,0.013972055888223553,0.3777777777777778,0.3777777777777778,2.812345679012346,5
generator,CHEMBL204_Ki,81,boundary_extended,,,,generator_only,support_any,68,19,0.27941176470588236,2,0.27941176470588236,0.23777405699121756,-0.05778294131831033,0.28331493650091616,0.025624096357200733,0.0054166465726999576,0.03555997045489081,-0.06319958789101028,-1.7772677278003195,0.9960079840319361,0.08163265306122448,0.08163265306122448,0.29215896885069814,49
generator,CHEMBL204_Ki,81,boundary_extended,,,,generator_only,selected_mean_nearest_train_tanimoto,68,19,0.27941176470588236,22,0.27941176470588236,0.3521671826625387,0.10096670247046188,0.31135797599138193,0.05174359431242677,0.04433351770232594,0.07180743700500042,0.05663318476813594,0.788681327871265,0.22554890219560877,0.21052631578947367,0.21052631578947367,0.7534626038781163,6
