dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL219_Ki,76,unimol,mlp,2,0.13157894736842105,0.13157894736842105,0.26644736842105265,0.1348684210526316
CHEMBL228_Ki,0,morgan,xgboost,2,-0.08404331835505921,-0.0962445673984135,-0.08404331835505921,0.01220124904335429
CHEMBL228_Ki,0,morgan,mlp,2,-0.00492761207046922,-0.013022691594120147,-0.00492761207046922,0.008095079523650926
CHEMBL228_Ki,0,molformer,xgboost,2,-0.08006279434850856,-0.09037845907593804,-0.08006279434850856,0.01031566472742948
CHEMBL228_Ki,0,molformer,mlp,2,-0.04079452293738004,-0.053068798369550176,-0.04079452293738004,0.012274275432170134
CHEMBL228_Ki,0,unimol,xgboost,2,0.00030525030525030417,-0.006759113901971045,0.00030525030525030417,0.0070643642072213495
CHEMBL228_Ki,0,unimol,mlp,2,0.042386185243328094,0.042386185243328094,0.06357927786499214,0.021193092621664043
CHEMBL228_Ki,49,morgan,xgboost,2,0.01759530791788856,0.01759530791788856,0.01985370950888192,0.0022584015909933586
CHEMBL228_Ki,49,morgan,mlp,2,0.0211038961038961,0.011562998405103667,0.0211038961038961,0.009540897698792433
CHEMBL228_Ki,49,molformer,xgboost,2,0.0033057851239669416,0.0033057851239669416,0.008456659619450317,0.005150874495483376
CHEMBL228_Ki,49,molformer,mlp,2,0.15404040404040406,0.08636363636363636,0.15404040404040406,0.0676767676767677
CHEMBL228_Ki,49,unimol,xgboost,2,0.013047138047138047,0.0074074074074074086,0.013047138047138047,0.005639730639730638
CHEMBL228_Ki,49,unimol,mlp,2,0.15404040404040406,0.00691699604743083,0.15404040404040406,0.14712340799297324
CHEMBL231_Ki,21,morgan,xgboost,4,0.1674865424430642,0.13765266892170616,0.1674865424430642,0.02983387352135805
CHEMBL231_Ki,21,morgan,mlp,4,0.25485793899587,0.21161546499477538,0.25485793899587,0.04324247400109463
CHEMBL231_Ki,21,molformer,xgboost,4,0.158025974025974,0.11611027568922302,0.158025974025974,0.04191569833675096
CHEMBL231_Ki,21,molformer,mlp,4,0.1072882205513784,0.06809022556390971,0.1072882205513784,0.03919799498746869
CHEMBL231_Ki,21,unimol,xgboost,4,0.23614132104454683,0.20231274961597534,0.23614132104454683,0.033828571428571486
CHEMBL231_Ki,21,unimol,mlp,4,0.3121269841269841,0.266478431372549,0.3121269841269841,0.04564855275443508
CHEMBL233_Ki,13,morgan,xgboost,21,0.023214285714285732,-0.019999999999999993,0.16357142857142862,0.1835714285714286
CHEMBL233_Ki,13,morgan,mlp,21,0.023214285714285732,-0.02658163265306124,0.14933673469387757,0.1759183673469388
CHEMBL233_Ki,13,molformer,xgboost,21,0.07142857142857142,-0.03954081632653061,0.14285714285714285,0.18239795918367346
CHEMBL233_Ki,13,molformer,mlp,21,0.07142857142857142,-0.03325892857142856,0.07142857142857142,0.10468749999999999
CHEMBL233_Ki,13,unimol,xgboost,21,-0.01992481203007519,-0.06301743369412544,0.0,0.06301743369412544
CHEMBL233_Ki,13,unimol,mlp,21,-0.020178571428571445,-0.05101345083487941,0.0,0.05101345083487941
CHEMBL233_Ki,53,morgan,xgboost,2,0.3567608861726509,0.2445397739515387,0.3567608861726509,0.1122211122211122
CHEMBL233_Ki,53,morgan,mlp,2,0.15640273704789837,0.10584066471163245,0.15640273704789837,0.05056207233626592
CHEMBL233_Ki,53,molformer,xgboost,2,0.24621212121212124,0.1340909090909091,0.24621212121212124,0.11212121212121215
CHEMBL233_Ki,53,molformer,mlp,2,0.16418732782369144,0.07258953168044079,0.16418732782369144,0.09159779614325066
CHEMBL233_Ki,53,unimol,xgboost,2,0.3663439590712318,0.3508067689885872,0.3663439590712318,0.015537190082644592
CHEMBL233_Ki,53,unimol,mlp,2,0.24876395534290274,0.19724880382775123,0.24876395534290274,0.051515151515151514
CHEMBL233_Ki,65,morgan,xgboost,2,0.022189754689754686,0.010584816418149757,0.022189754689754686,0.01160493827160493
CHEMBL233_Ki,65,morgan,mlp,2,0.06713425463425463,0.02453510541745836,0.06713425463425463,0.042599149216796264
CHEMBL233_Ki,65,molformer,xgboost,2,-0.002412733725303252,-0.002412733725303252,-0.0015032558043310787,0.0009094779209721734
CHEMBL233_Ki,65,molformer,mlp,2,-0.0015151019453185266,-0.0022329660704407156,-0.0015151019453185266,0.000717864125122189
CHEMBL233_Ki,65,unimol,xgboost,2,0.02864167995746943,0.02864167995746943,0.031114323055112525,0.002472643097643095
CHEMBL233_Ki,65,unimol,mlp,2,0.0455597643097643,0.03651695526695527,0.0455597643097643,0.009042809042809033
CHEMBL233_Ki,122,morgan,xgboost,2,0.09676001082251082,0.09676001082251082,0.13421994671994672,0.0374599358974359
CHEMBL233_Ki,122,morgan,mlp,2,0.027662180814354724,0.027662180814354724,0.029062049062049056,0.0013998682476943324
CHEMBL233_Ki,122,molformer,xgboost,2,0.03582785087719298,0.03582785087719298,0.04215225563909773,0.006324404761904753
CHEMBL233_Ki,122,molformer,mlp,2,0.10783730158730158,0.10783730158730158,0.18541666666666665,0.07757936507936507
CHEMBL233_Ki,122,unimol,xgboost,2,0.054427083333333334,0.054427083333333334,0.15295138888888887,0.09852430555555554
CHEMBL233_Ki,122,unimol,mlp,2,0.037578914141414135,0.037578914141414135,0.08480113636363637,0.047222222222222235
CHEMBL236_Ki,48,morgan,xgboost,2,-0.02281506001200329,-0.02281506001200329,-0.018947735920504166,0.0038673240914991226
CHEMBL236_Ki,48,morgan,mlp,2,-0.007215289482461554,-0.007215289482461554,-0.0022962127651095423,0.004919076717352012
CHEMBL236_Ki,48,molformer,xgboost,2,0.0003210566701325212,-0.007575123482145199,0.0003210566701325212,0.00789618015227772
CHEMBL236_Ki,48,molformer,mlp,2,0.001396523631689255,-0.000822851923410823,0.001396523631689255,0.002219375555100078
