draw,unadjusted_boundary_extended,null_adjusted_boundary_extended,null_adjusted_strict_unmatched,null_adjusted_boundary_prevalence_le_0_8
193,-0.01080239944661915,-0.0083395130183639,-0.013935725552438558,-0.010119882198998238
194,-0.0079536116372834,-0.005823957626702403,-0.017118003276952884,-0.0091705767086449
195,-0.0003619398233759507,-0.005079326945045561,-0.009500246761299659,-0.014980993484825171
196,-0.01153053780819315,-0.006949953347513613,-0.009557133761300421,-0.016358797936850134
197,-0.008521127205708,-0.017456782916070234,-0.01211504458612683,-0.005081814634217849
198,-0.0037954423461669,-0.007829476111569936,-0.008695812026948885,-0.007695296241535895
199,-0.0042336602734981,-0.010658876238126645,-0.007668850715561254,-0.013909218963906463
200,-0.0084949751341739,-0.014902771170628326,-0.014153056692664943,-0.012413173627157707
201,-0.0041949860131678,-0.01543643632706474,-0.0087264786762963,-0.0065266832158097626
202,-0.0060353248018778,-0.007417203387598048,-0.013081035101626531,-0.004238618336045611
203,-0.0081705469325868,-0.012240937908200047,-0.010545355014368596,-0.005412722927152369
204,-0.0034624719822088,-0.0056667330869466515,-0.010701873295239517,-0.008647990475847134
205,-0.0041682513315599,-0.004886347857321213,-0.011404556568588757,-0.012648982509970826
206,-0.0051343636869952,-0.005939343899406599,-0.01897939285082255,-0.008608386070310552
207,-0.0055186667042923495,-0.008815934809000732,-0.008782251602564156,-0.006647550365079056
208,-0.003947765091964451,-0.014134271281655543,-0.010763871952698859,-0.010041460039079103
209,-0.01161939252752715,-0.005087645795450013,-0.011615615004673174,-0.006609381719695204
210,-0.0034404897385329498,-0.00996719591585488,-0.01519025863842044,-0.006183041027262144
211,-0.010945215341638202,-0.011952777591610543,-0.012719648258282916,-0.005521788847004033
212,0.0,-0.00793263169663315,-0.010701873295239517,-0.008695139023946717
213,-0.0077560155454622,-0.011291873101282882,-0.00512062711234984,-0.007464111409650628
214,-0.0066980247222447,-0.01727682132733606,-0.013104828328843965,-0.010311260603637032
215,-0.0123759648866485,-0.007829476111569936,-0.008618733946117299,-0.0096354806320136
216,-0.0049995256124992,-0.012876160307688083,-0.010995752115274681,-0.006352813801172516
217,-0.01002850208201995,-0.007116081982155516,-0.006920983515712683,-0.012427317147766369
218,0.0,-0.011359321482064276,-0.008758783384080121,-0.016369044448533474
219,-0.010659316884098949,-0.009700972565726381,-0.006799901214566327,-0.005400805757661602
220,-0.0075169290472598994,-0.010311260603637032,-0.010701873295239517,-0.01422625965717492
221,-0.0096401232005488,-0.009549036199344286,-0.012006639207553859,-0.012648982509970826
222,-0.01338910946795005,-0.007816669761729277,-0.011595564158905256,-0.011987486971272263
223,-0.0071900252423621,-0.009700972565726381,-0.007180478620228858,-0.008808364080796188
224,-0.00687758138071325,-0.010455026455026467,-0.010436913985103475,-0.006647550365079056
225,-0.00563201480753505,-0.010876284563771184,-0.010645360604307964,-0.01579785440825652
226,-0.0100048925356712,-0.007322900100791195,-0.010105461471317204,-0.004846815051552225
227,-0.0098435548835542,-0.011400482130672088,-0.014726138592976088,-0.01207307248999592
228,-0.0064538017936231,-0.006330930949014031,-0.014592525341406558,-0.01792120741086518
229,-0.0071723280342585,-0.012965308701294864,-0.010078909616266792,-0.0158141408295406
230,-0.0039875102375101,-0.0056667330869466515,-0.010705078361758184,-0.005339581714581716
231,-0.007166386061109401,-0.005710235690235661,-0.009186632798748963,-0.0051719830751949525
232,-0.0098435548835542,-0.009249491249491265,-0.009209225026549145,-0.011980089355089343
233,-0.0111581039591036,-0.00721399136447386,-0.006748957489698233,-0.0038744437284593883
234,-0.0011407326478542,-0.00846215777022355,-0.01045512679226189,-0.01496154733153523
235,-0.008521127205708,-0.00899579572713928,-0.011005752327600279,-0.0037441925913631706
236,-0.0093602693602693,-0.00634420884668872,-0.01598844595691102,-0.008368710271111142
237,-0.00071904410672525,-0.013898084780365211,-0.015303042566227798,-0.014833303198568532
238,-0.0093831470988094,-0.006957624323549516,-0.003015864633876257,-0.009156068506534089
239,-0.01533855528057735,-0.008402729393850103,-0.012337294446922602,-0.00856498477430049
240,-0.0123759648866485,-0.01170076558577083,-0.012571449954328316,-0.005888740857768135
241,-0.00899863884414875,-0.011054515489823728,-0.006499161203521439,-0.012310606060606018
242,-0.0077637845093280495,-0.014685178537973369,-0.010701873295239517,-0.008647990475847134
243,-0.0081705469325868,-0.015745614615211213,-0.013104828328843965,-0.006920819822157134
244,0.0,-0.003187727189683791,-0.008433365082629762,-0.013667913051466505
245,-0.004976174937602,-0.020329028799540287,-0.007605464966121127,-0.005608851652051295
246,-0.0077560155454622,-0.007700777632161053,-0.012608763702184778,-0.014902771170628326
247,-0.01223610246900695,-0.01129252481376207,-0.009315729482451185,-0.011240572794844784
248,-0.0051127330445941,-0.004688228438228439,-0.01052106439240727,-0.007116081982155516
249,-0.0031708456977227,-0.010041460039079103,-0.010800156886114007,-0.00622729287841485
250,-0.0090628463220459,-0.00401720643851378,-0.013230788611740991,-0.001987228831679653
251,-0.00523271980315315,-0.012427317147766369,-0.010302541582423653,-0.00508158871564221
252,-0.00646123396123395,-0.01469704916499505,-0.008695330981740662,-0.004127250696145085
253,-0.0023898164857300997,-0.004677317022234936,-0.0102815226239636,-0.012512532405865785
254,-0.0095005058963285,-0.00445219907431425,-0.01269740191463143,-0.012358375420875348
255,-0.0083181081406096,-0.01044681685157876,-0.01211341536096704,-0.002751769547325096
256,-0.0040773765646609,-0.01069805363771864,-0.016838274746286325,-0.008043956043956062
257,-0.0166658527740586,-0.0035520624454784544,-0.010069302000248706,-0.005597664272807487
258,-0.00388367752968935,-0.01069805363771864,-0.010817444686493432,-0.011594567469567463
259,-0.0170932968549198,-0.005608851652051295,-0.010189054856908603,-0.011318846743453063
260,-0.00929316861839155,-0.007552383253470789,-0.01332464664225589,-0.010051684547303742
261,-0.010659316884098949,-0.005736734788018637,-0.012198038046855316,-0.011151558441558414
262,-0.00563201480753505,-0.006436647727835249,-0.01338698506484338,-0.009475905389455495
263,-0.00929316861839155,-0.009784624139016568,-0.016048051985789177,-0.005087645795450013
264,-0.00675307466537455,-0.014689878196438189,-0.012075101470122106,-0.006174286590414184
265,-3.7508723199103366e-05,-0.00793448821823678,-0.008570675686875848,-0.0025391648726340588
266,-0.0098210544901722,-0.0065512002773011405,-0.012661633611333888,-0.009475905389455495
267,-0.0090091286012307,-0.013737062492394106,-0.009700650415189605,-0.006543026900271611
268,-0.0039528276114929,-0.012776981403733952,-0.010436913985103475,-0.00815608080478621
269,-0.010655137123018701,-0.010602787788341197,-0.01265209643747467,-0.004127250696145085
270,-0.0107706612752879,-0.006815920802463377,-0.007311051395328276,-0.006637243839825901
271,-0.0014430106397495001,-0.008727240154750876,-0.010189054856908603,-0.006817919037082193
272,-0.0008505187570479,-0.012965308701294864,-0.012495189247985435,-0.011980089355089343
273,-0.0119703776755058,-0.01496154733153523,-0.010701873295239517,-0.01113931540774176
274,-0.01415441176470585,-0.013667913051466505,-0.005441767965141605,-0.010531483131530125
275,-0.0120898724496495,-0.0027104802322163273,-0.01567456749024323,-0.009156068506534089
276,-0.010352639758651,-0.008864084803434757,-0.01383508478924529,-0.011891719341364997
277,-0.0095005058963285,-0.015256442032110573,-0.01211504458612683,-0.008317338515946767
278,-0.0042714361028425,-0.0037190027095990756,-0.011297619157017432,-0.006815920802463377
279,-0.0056866071587353,-0.008682252999125211,-0.010526323449607758,-0.015186144105141856
280,0.0,-0.00550860191990462,-0.008210595094234005,-0.007278337362605903
281,-0.0030916669605922003,-0.008647990475847134,-0.008180122188707173,-0.009156068506534089
282,-0.0040349971165494,-0.007974160104151758,-0.013176041666666638,-0.010594633538150561
283,-0.0015465453916119,-0.012846132124048814,-0.011978569676472544,-0.008043956043956062
284,-0.00563201480753505,-0.010740420498788754,-0.009926051902242376,-0.012696599533201399
285,-0.0107925570978678,-0.01663508882836008,-0.01032639204545454,-0.004315270224342192
286,-0.0028287995644212,-0.014300525576716086,-0.010701873295239517,-0.01051828703703703
287,-0.008041119137856951,-0.00815608080478621,-0.007521961026658277,-0.011502521270015064
288,-0.0123416026456103,-0.006174286590414184,-0.014902680232411942,-0.005608851652051295
289,-0.0025045961477585,-0.013093400391314791,-0.01569734968314511,-0.010364110367297452
290,-0.00453545321239275,-0.006342064594356276,-0.013292896073375266,-0.011557523851168743
291,-0.0110894873591782,-0.009313650009005109,-0.007555704054891589,-0.006222518379410305
292,-0.00277891293156945,-0.00582943457046093,-0.009773482735064652,-0.0052772814111144845
