dataset,component_id,left_index,right_index,representation,predictor,trained_ap,trained_nap,permuted_ap,permuted_nap,prevalence,delta_ap,delta_nap
CHEMBL1871_Ki,6,91,92,morgan,mlp,0.2416839199447894,-0.0259570494864612,0.2753059691918387,0.0195316053771936,0.2608695652173913,-0.0336220492470492,-0.0454886548636548
CHEMBL1871_Ki,6,91,92,morgan,xgboost,0.2448329699688395,-0.0216965700421582,0.3636876006441223,0.1391067538126361,0.2608695652173913,-0.1188546306752828,-0.1608033238547944
CHEMBL1871_Ki,6,91,92,unimol,mlp,0.255675021435891,-0.007027912174971,0.2576536369561731,-0.0043509617651774,0.2608695652173913,-0.0019786155202821,-0.0026769504097935
CHEMBL1871_Ki,6,91,92,unimol,xgboost,0.3072262479871175,0.0627178649237472,0.2934696342305037,0.0441059757236227,0.2608695652173913,0.0137566137566138,0.0186118892001244
CHEMBL1871_Ki,9,228,239,molformer,mlp,0.2454195458260498,0.0331937930896264,0.3377876715275089,0.1515404541446208,0.2195121951219512,-0.092368125701459,-0.1183466610549943
CHEMBL1871_Ki,9,228,239,molformer,xgboost,0.2208497740340559,0.0017137729811341,0.3272056609454983,0.1379822530864197,0.2195121951219512,-0.1063558869114424,-0.1362684801052856
CHEMBL1871_Ki,9,228,239,morgan,mlp,0.3577612165010538,0.1771315586419752,0.3914913752312126,0.2203483245149911,0.2195121951219512,-0.0337301587301587,-0.0432167658730159
CHEMBL1871_Ki,9,228,239,morgan,xgboost,0.3423291177356218,0.1573591820987654,0.3146642577536886,0.1219135802469135,0.2195121951219512,0.0276648599819331,0.0354456018518519
CHEMBL1871_Ki,9,228,239,unimol,mlp,0.2443573364305071,0.0318328373015872,0.2337873508605215,0.0182900432900433,0.2195121951219512,0.0105699855699855,0.0135427940115439
CHEMBL1871_Ki,9,228,239,unimol,xgboost,0.2605870943269317,0.0526272146063812,0.2612123949522323,0.0534283810325476,0.2195121951219512,-0.0006253006253005,-0.0008011664261663
CHEMBL1871_Ki,12,182,185,molformer,mlp,0.6237010638713425,0.4931483717450735,0.5400408881650419,0.3804632371202605,0.2575757575757575,0.0836601757063005,0.112685134624813
CHEMBL1871_Ki,12,182,185,molformer,xgboost,0.4959958923213023,0.3211373243511418,0.4412272004126367,0.2473672495353881,0.2575757575757575,0.0547686919086656,0.0737700748157536
CHEMBL1871_Ki,12,182,185,morgan,mlp,0.5860594876450368,0.4424474731545392,0.7653018152110711,0.6838759143659324,0.2575757575757575,-0.1792423275660343,-0.2414284412113932
CHEMBL1871_Ki,12,182,185,morgan,xgboost,0.4400778029671976,0.2458190815476538,0.3769315319704985,0.1607649206133245,0.2575757575757575,0.0631462709966991,0.0850541609343293
CHEMBL1871_Ki,12,182,185,unimol,mlp,0.5235303991791881,0.3582246193025799,0.4573581365525836,0.2690946329075616,0.2575757575757575,0.0661722626266044,0.0891299863950182
CHEMBL1871_Ki,12,182,185,unimol,xgboost,0.4094292291441975,0.2045373290513681,0.4976171255986502,0.3233210263165492,0.2575757575757575,-0.0881878964544526,-0.118783697265181
CHEMBL1871_Ki,14,313,315,molformer,mlp,0.1480641037706254,-0.031290821751348,0.2165789625028755,0.0516482177666388,0.1739130434782608,-0.06851485873225,-0.0829390395179868
CHEMBL1871_Ki,14,313,315,molformer,xgboost,0.1490252929755217,-0.0301272769243682,0.1697518252152119,-0.0050372642131645,0.1739130434782608,-0.0207265322396901,-0.0250900127112037
CHEMBL1871_Ki,14,313,315,morgan,mlp,0.1697870969610099,-0.004994566836672,0.1741064618066906,0.0002341379765202,0.1739130434782608,-0.0043193648456806,-0.0052287048131923
