dataset,representation,predictor,seed,pairs,exact_zero_ties,tie_fraction,strict_direction_accuracy,non_tie_direction_accuracy,sign_flipped_strict_accuracy,median_absolute_predicted_delta
CHEMBL218_EC50,unimol,mlp,42,20,0,0.0,0.45,0.45,0.55,0.034889340400695745
CHEMBL218_EC50,unimol,xgboost,11,20,3,0.15,0.35,0.4117647058823529,0.5,0.03537178039550775
CHEMBL218_EC50,unimol,xgboost,23,20,8,0.4,0.3,0.5,0.3,0.01211953163146965
CHEMBL218_EC50,unimol,xgboost,42,20,7,0.35,0.35,0.5384615384615384,0.3,0.02848255634307855
CHEMBL219_Ki,molformer,mlp,11,34,0,0.0,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0951205492019653
CHEMBL219_Ki,molformer,mlp,23,34,0,0.0,0.38235294117647056,0.38235294117647056,0.6176470588235294,0.06420671939849851
CHEMBL219_Ki,molformer,mlp,42,34,0,0.0,0.5588235294117647,0.5588235294117647,0.4411764705882353,0.07475548982620235
CHEMBL219_Ki,molformer,xgboost,11,34,0,0.0,0.5,0.5,0.5,0.054543972015380804
CHEMBL219_Ki,molformer,xgboost,23,34,14,0.4117647058823529,0.3235294117647059,0.55,0.2647058823529412,0.0092414617538452
CHEMBL219_Ki,molformer,xgboost,42,34,0,0.0,0.6176470588235294,0.6176470588235294,0.38235294117647056,0.0662466287612915
CHEMBL219_Ki,morgan,mlp,11,34,0,0.0,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.09829950332641595
CHEMBL219_Ki,morgan,mlp,23,34,0,0.0,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.06519460678100586
CHEMBL219_Ki,morgan,mlp,42,34,0,0.0,0.5,0.5,0.5,0.08607369661331174
CHEMBL219_Ki,morgan,xgboost,11,34,4,0.11764705882352941,0.5882352941176471,0.6666666666666666,0.29411764705882354,0.04351407289505
CHEMBL219_Ki,morgan,xgboost,23,34,31,0.9117647058823529,0.058823529411764705,0.6666666666666666,0.029411764705882353,0.0
CHEMBL219_Ki,morgan,xgboost,42,34,13,0.38235294117647056,0.2647058823529412,0.42857142857142855,0.35294117647058826,0.01800447702407835
CHEMBL219_Ki,unimol,mlp,11,34,0,0.0,0.4117647058823529,0.4117647058823529,0.5882352941176471,0.057177424430847154
CHEMBL219_Ki,unimol,mlp,23,34,0,0.0,0.5,0.5,0.5,0.12445241212844846
CHEMBL219_Ki,unimol,mlp,42,34,0,0.0,0.6176470588235294,0.6176470588235294,0.38235294117647056,0.0639594197273254
CHEMBL219_Ki,unimol,xgboost,11,34,0,0.0,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.11164128780364985
CHEMBL219_Ki,unimol,xgboost,23,34,0,0.0,0.2647058823529412,0.2647058823529412,0.7352941176470589,0.12681078910827637
CHEMBL219_Ki,unimol,xgboost,42,34,20,0.5882352941176471,0.14705882352941177,0.35714285714285715,0.2647058823529412,0.0
CHEMBL228_Ki,molformer,mlp,11,31,0,0.0,0.3225806451612903,0.3225806451612903,0.6774193548387096,0.0821046829223632
CHEMBL228_Ki,molformer,mlp,23,31,0,0.0,0.6129032258064516,0.6129032258064516,0.3870967741935484,0.0761773586273193
CHEMBL228_Ki,molformer,mlp,42,31,0,0.0,0.3225806451612903,0.3225806451612903,0.6774193548387096,0.0588072538375854
