draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
210,-1.2238040336150571e-05,-0.01800981294587731,-0.004336985048245451,-0.01367282789763186,0.0
211,0.0017381398649796015,-0.0005840365488729488,-0.005463010057577055,0.004878973508704107,0.0
212,0.003978654680415231,-0.0019791510750497756,-0.003935208786162102,0.0019560577111123268,0.0
213,-0.011383647028300723,-0.0008737185461323502,-0.0048962550407721465,0.004022536494639796,0.0
214,-0.003816800961545126,-0.0011494132893720252,-0.007503817103987226,0.0063544038146152015,0.0
215,-0.001962540433961475,0.0,-0.003171216938927149,0.003171216938927149,0.0
216,-0.002183441207041697,-0.004443243488480827,-0.01129019108413905,0.006846947595658222,0.0
217,-0.005235067472724449,-0.0004786875297291236,-0.0039281445821614,0.003449457052432277,0.0
218,0.0,0.002555533046065405,-0.00032759348302355035,0.0028831265290889556,0.0
219,0.0009012127578304011,-0.0017431101976448263,-0.0015354497140432255,-0.00020766048360160074,0.0
220,-0.0008636738413269236,-0.006253206550557553,-0.007669714647056352,0.0014165080964987989,0.0
221,-0.004912562512655601,-0.004153865171836497,-0.004838955782677525,0.0006850906108410281,0.0
222,-0.00624394200959147,-0.0004786875297291236,-0.00183460017303175,0.0013559126433026264,0.0
223,-0.004714436185346704,0.0,0.0001722428372663504,-0.0001722428372663504,0.0
224,-0.00032474772631555003,-0.00183460017303175,-0.0008966716963752499,-0.0009379284766565001,0.0
225,-0.004642461868135774,-0.0010951133138515498,0.0,-0.0010951133138515498,0.0
226,-0.002234359403803925,-0.01334839829445135,-0.01091274902336645,-0.002435649271084899,0.0
227,-0.004437990175360501,-0.0009049648852769251,-0.006350935308206275,0.00544597042292935,0.0
228,-0.002366943241888908,-0.016807406143291875,-0.0037883722391938712,-0.013019033904098004,0.0
229,-0.016498174195952474,-0.009956281468752576,-0.0027907745004475517,-0.007165506968305024,0.0
230,-0.005721431904621075,-0.0007379420752938264,-0.004248153451658231,0.0035102113763644045,0.0
231,-0.0044514120731531295,-0.007328942545263347,-0.0004944960440316504,-0.006834446501231697,0.0
232,-0.00249683994878035,-0.0004786875297291236,-0.0013656359347035,0.0008869484049743763,0.0
233,-0.0029061050504356986,0.0,-0.0007271024351769503,0.0007271024351769503,0.0
234,0.001967753713642254,-0.04548388464944392,-0.04888739797475997,0.0034035133253160557,0.0
235,-0.0034031864760333255,0.0,-2.7516849421926892e-05,2.7516849421926892e-05,0.0
236,-0.0014804252253509506,0.0,-0.014486625576196854,0.014486625576196854,0.0
237,-0.0012290309363225003,-0.00535335622319195,-0.005665492361908726,0.0003121361387167761,0.0
238,-0.000939443334241675,-0.00044833584818762496,-0.002480377074754925,0.0020320412265673,0.0
239,0.0,-0.005238504602531349,-0.02742556542047103,0.02218706081793968,0.0
240,-0.009984123369874448,0.00013280483818235017,-0.004336985048245451,0.004469789886427801,0.0
241,-0.0005792124542124029,-0.0019634803577108237,-0.009555097457890953,0.007591617100180129,0.0
242,-0.0025827090168688777,-0.0146859840448334,-0.0047374246838274275,-0.009948559361005973,0.0
243,-0.009769332900119826,0.0,0.0,0.0,0.0
244,-0.005679345054677449,-0.003401139230104774,-0.005940051720465276,0.002538912490360502,0.0
245,-0.0004786875297291236,-0.003816800961545126,-0.0073529480523239765,0.0035361470907788505,0.0
246,0.000509529993678,-0.006475932193044626,-0.01274133920247432,0.006265407009429694,0.0
247,-0.028709732401253227,-0.008517709619853526,-0.025390353240278885,0.016872643620425357,0.0
248,-0.0009214743589743505,-0.0002867157717903999,-0.0028752819827593755,0.0025885662109689754,0.0
249,-0.001279230943939975,0.001019546548737251,0.001942627950191067,-0.000923081401453816,0.0
250,0.0009012127578304011,0.0026042635703650008,0.0,0.0026042635703650008,0.0
251,-0.00040431246275774997,0.0,-0.00022122191443522433,0.00022122191443522433,0.0
252,-0.005269040591231451,-0.0034540698753381754,-0.009279268923714166,0.00582519904837599,0.0
253,-0.0007219847777087014,-0.006743213684478753,-0.0028207053028822295,-0.003922508381596523,0.0
254,-0.0044514120731531295,-0.0036471081528641723,-0.001153446202931326,-0.0024936619499328462,0.0
255,-0.0075827527958913996,-0.007422545964354075,0.0,-0.007422545964354075,0.0
256,0.0,-0.0026009436540658766,-0.006066077022487976,0.0034651333684220997,0.0
