draw,alternative_full_delta_nap,alternative_paired_delta_nap,original_paired_delta_nap,paired_primary_estimate_change,paired_selection_change
148,-0.0044527029595419,0.0,-0.0036870913304887995,0.0036870913304887995,0.0
149,-0.003972897571500551,-0.006046390993340745,-0.005250868922743998,-0.0007955220705967471,0.0
150,-0.00012048602187870192,0.0,0.0,0.0,0.0
151,-0.0034607846659170487,0.0,-0.0006459685558211983,0.0006459685558211983,0.0
152,-0.0009573750594582472,0.0,0.0,0.0,0.0
153,-0.0095140515222481,0.0,0.0,0.0,0.0
154,-0.0013148767298477478,0.0,0.0,0.0,0.0
155,0.0,0.0,-0.006726172783088501,0.006726172783088501,0.0
156,0.0,-0.00557896346207859,-0.008369769532527,0.002790806070448411,0.0
157,0.0,0.0,0.00031561266433514923,-0.00031561266433514923,0.0
158,-0.0033579005372640002,-0.00967538311692625,-0.004078525641025552,-0.0055968574759006975,0.0
159,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,-0.00021558650431136028,0.00021558650431136028,0.0
162,0.0,0.0,0.0,0.0,0.0
163,-0.007633601923090252,0.0,0.0,0.0,0.0
164,-0.0027268266609253994,0.0,-0.006342433877854298,0.006342433877854298,0.0
165,-0.0048361474219317975,0.0,0.0,0.0,0.0
166,-0.006023894100326401,0.0,-0.003076573491777909,0.003076573491777909,0.0
167,0.0,-0.0013232864150881027,-0.007633601923090252,0.006310315508002149,0.0
168,-0.0039240461389215,-0.0023731520123141,0.0,-0.0023731520123141,0.0
169,0.0,0.0,0.0,0.0,0.0
170,-0.005482806846018234,-0.003467771271097299,-0.0017490894387146468,-0.001718681832382652,0.0
171,-0.0024917835397361005,-0.002574177310571844,0.0,-0.002574177310571844,0.0
172,0.0,0.0,0.0002871762740184001,-0.0002871762740184001,0.0
173,-0.002779535695649104,-0.00853038137275379,-0.00432661841248419,-0.0042037629602696,0.0
174,-0.0043258081921292504,-0.00016453498537968847,-0.0030495803570627002,0.0028850453716830118,0.0
175,-0.0071503122606258445,-0.005482806846018234,-0.006562408108460802,0.0010796012624425672,0.0
176,-0.0062314298788049005,-0.00546946654151045,0.0,-0.00546946654151045,0.0
177,-0.006410179983128896,-0.004440559440559398,-0.005418431658310203,0.0009778722177508047,0.0
