draw,target_balanced_median_delta_nap
823,-0.02463554333918433
824,-0.007516876659643205
825,-0.001992050976687049
826,-0.006354633799119027
827,0.0018943616787025085
828,-0.012113406650098727
829,0.001019305015049674
830,-0.0044001592277454
831,-0.0010571011048740747
832,-0.004955053317877902
833,-0.0017334162257117737
834,-0.014880162371984279
835,-0.011118367032126902
836,-0.030304654125090372
837,-0.003083721833721801
838,-0.0021634984528481546
839,0.0
840,-0.00411874830735543
841,-0.01254323037385437
842,-0.0029558266310983905
843,-0.003850013177736525
844,-0.0018210016481121755
845,-0.002495474577170525
846,-0.014362400148073304
847,-0.008089121566452818
848,-0.0010574732836348237
849,-0.006951430845027501
850,-0.00044244382887044867
851,-0.004204772639065598
852,-0.008086985048245452
853,-0.001148800085791875
854,-0.010506544280765126
855,-0.006289701374865375
856,-0.00796507444641725
857,-0.006939784796505862
858,0.0
859,-0.0038570936803469
860,-0.009123098645561024
861,-0.005072385050210248
862,-0.0017392515267840008
863,-0.006110575876934376
864,-0.0003057065217391252
865,-0.0002645091410333
866,-0.0017756244429684512
867,-0.014906796415630174
868,-0.003832829557007249
869,0.011352271680808802
870,0.0
871,-0.020794008934968723
872,-0.007374856491288721
873,-0.007425046938430123
874,-0.005850463479742575
875,-0.002480377074754925
876,-0.005242034653799341
877,0.0
878,0.0014037967774443464
879,-0.006843612338881897
880,-0.0017334162257117737
881,-0.013448940238750472
882,-0.006927131521509376
883,-0.017695197405806176
884,-0.006486431618866853
885,-0.0045334492594936
886,0.0020857603210992586
887,0.0
888,-0.0022317292846114247
889,-0.020073857007014646
890,0.0
891,-0.0014311467357005499
892,0.0
893,-0.004048301904283872
894,-0.006141573519349623
895,-0.00027561245641185
896,-0.009785198986955127
897,-0.006421175739515323
898,-0.00047430709072457345
899,-0.0006574383649238739
900,-0.008610940493730523
901,-0.0004944960440316504
902,0.0009792164177205298
903,-0.028469354127104184
904,-0.005003613256314476
905,-0.0038373038216310993
906,-0.010702041495605169
907,-0.0012077086227452257
908,-0.013781361363681573
909,-0.014173703972474198
910,-0.00032474772631555003
911,-0.0007166482979484748
912,0.0
913,-0.001728323873151652
914,-0.018237131189016917
915,-0.003783855147683828
916,-0.006027805098834427
917,0.0010873281893812245
918,-0.0071800678699281
919,-0.011308812258098076
920,-0.000148538712390425
921,0.0034765841698253743
922,-0.00416377433840665
923,-0.0008161172809361748
924,-0.0069932851937237
925,0.0
926,-0.009478682939216564
927,-0.014966242552392702
928,-0.004964658802219045
929,-0.0004863803031342987
930,-0.00820494998476232
931,-0.007527573087489404
932,-0.003728877821454527
933,-0.002284270369820326
934,-0.007571670652783679
935,0.0
936,0.0011513553403836745
937,-0.0003849863115978
938,-0.004704819829559477
939,0.0
940,-0.01142277942810355
941,-0.012001177937111626
942,0.00013280483818235017
943,-0.0249475653888607
944,-0.006423573236424481
945,-0.007025352071302893
946,-0.00183460017303175
947,-0.0115603080803695
948,-0.0029780465126748997
949,-0.00952077221064377
950,-0.010558456310810297
951,-0.001257836558193154
952,0.005495319931568025
953,-0.01148682175237007
954,-0.0011107878768144
955,0.0015097899003360758
956,-0.00036906522346395005
957,-0.01592829008431579
958,-0.006919921310817983
959,-0.010778042155260851
960,-0.009465774736045075
961,-0.0032080198717732732
962,-0.007793457714164167
963,-0.014972430032895577
964,-0.0012890827801971534
965,-0.003907037446648575
966,-0.008125244236741394
967,-0.01149469025833002
968,-0.010318930140050551
969,-0.00750163426974905
970,-0.009095471067202047
971,0.0005313664616848502
972,-0.004476014916518351
973,-0.004705316138270325
974,-0.007848226293732925
975,-0.005992476445049877
976,-0.003816800961545126
977,-0.0005775706497574743
978,-0.003816800961545126
979,0.0
980,-0.010410915001080278
981,0.0
982,-0.0024779783062919263
983,-0.02177285268746735
984,-0.002915689858868444
985,-0.006072548087981876
986,-0.006582658480671087
987,-0.001148800085791875
988,-0.00481595481935955
989,-0.015476348536324349
990,-0.010579786605197107
991,0.00370726125879555
992,-0.004778998887971325
993,-0.005364074634641249
994,0.0
995,-0.001665380658436199
996,-0.011184439765160802
997,-0.006370372836352599
998,-0.009390759799125965
999,-0.014876494224352626
1000,-0.0008966716963752499
1001,-0.018786705281206677
1002,-0.011806689866770744
1003,-0.011805609661946747
1004,-0.004689691418574399
1005,-0.006174683037637459
1006,0.0
1007,-0.004162878243760571
